"","t","NO2"
"1",1496102400,NA
"2",1496106000,7
"3",1496109600,10.1
"4",1496113200,8.6
"5",1496116800,25.6
"6",1496120400,32.5
"7",1496124000,46.5
"8",1496127600,44.7
"9",1496131200,27
"10",1496134800,38.8
"11",1496138400,31
"12",1496142000,27.1
"13",1496145600,20.6
"14",1496149200,18.8
"15",1496152800,14.5
"16",1496156400,18.5
"17",1496160000,14.6
"18",1496163600,26.2
"19",1496167200,50.9
"20",1496170800,68.2
"21",1496174400,57.6
"22",1496178000,29
"23",1496181600,15.7
"24",1496185200,11.7
"25",1496188800,9.6
"26",1496192400,6.3
"27",1496196000,5.2
"28",1496199600,22.3
"29",1496203200,8.5
"30",1496206800,15.1
"31",1496210400,40.5
"32",1496214000,33.2
"33",1496217600,19.2
"34",1496221200,11.4
"35",1496224800,8.5
"36",1496228400,8.4
"37",1496232000,11.7
"38",1496235600,11.8
"39",1496239200,11.3
"40",1496242800,7.9
"41",1496246400,10.4
"42",1496250000,9.7
"43",1496253600,6.2
"44",1496257200,7
"45",1496260800,22.9
"46",1496264400,38
"47",1496268000,49.2
"48",1496271600,36.9
"49",1496275200,30.7
"50",1496278800,21.7
"51",1496282400,17.7
"52",1496286000,20.7
"53",1496289600,28.4
"54",1496293200,24.9
"55",1496296800,43.1
"56",1496300400,37.3
"57",1496304000,28.7
"58",1496307600,15.8
"59",1496311200,11.9
"60",1496314800,9.4
"61",1496318400,5.5
"62",1496322000,4.3
"63",1496325600,4.7
"64",1496329200,9.1
"65",1496332800,10.9
"66",1496336400,11
"67",1496340000,15.4
"68",1496343600,12.2
"69",1496347200,14.1
"70",1496350800,6.6
"71",1496354400,5.1
"72",1496358000,5.3
"73",1496361600,3.4
"74",1496365200,2.5
"75",1496368800,2.2
"76",1496372400,2.9
"77",1496376000,6.2
"78",1496379600,19.1
"79",1496383200,22.7
"80",1496386800,13
"81",1496390400,10.8
"82",1496394000,8.6
"83",1496397600,7
"84",1496401200,6.4
"85",1496404800,5.3
"86",1496408400,5.4
"87",1496412000,4.9
"88",1496415600,11.6
"89",1496419200,10
"90",1496422800,9.2
"91",1496426400,10.5
"92",1496430000,20.2
"93",1496433600,20.4
"94",1496437200,24.4
"95",1496440800,27.1
"96",1496444400,21.5
"97",1496448000,9.7
"98",1496451600,5.1
"99",1496455200,3.7
"100",1496458800,3.1
"101",1496462400,2.6
"102",1496466000,3.9
"103",1496469600,4.2
"104",1496473200,5.1
"105",1496476800,5.5
"106",1496480400,6.2
"107",1496484000,8.1
"108",1496487600,6.7
"109",1496491200,8.5
"110",1496494800,11.8
"111",1496498400,10.3
"112",1496502000,7.8
"113",1496505600,9.3
"114",1496509200,8.8
"115",1496512800,10.7
"116",1496516400,10.6
"117",1496520000,7.1
"118",1496523600,5.8
"119",1496527200,5.3
"120",1496530800,5.1
"121",1496534400,5.7
"122",1496538000,3.2
"123",1496541600,1.8
"124",1496545200,2.7
"125",1496548800,3.9
"126",1496552400,7.8
"127",1496556000,5
"128",1496559600,2.5
"129",1496563200,2.9
"130",1496566800,1.9
"131",1496570400,2.4
"132",1496574000,2.6
"133",1496577600,2.4
"134",1496581200,2.5
"135",1496584800,1.8
"136",1496588400,2.6
"137",1496592000,3.3
"138",1496595600,5.7
"139",1496599200,6.4
"140",1496602800,7.2
"141",1496606400,6
"142",1496610000,3.8
"143",1496613600,6
"144",1496617200,4.4
"145",1496620800,3.7
"146",1496624400,2.5
"147",1496628000,1.9
"148",1496631600,1.3
"149",1496635200,1.5
"150",1496638800,2.1
"151",1496642400,3.5
"152",1496646000,3.2
"153",1496649600,2.8
