"","t","NO2"
"1",1496102400,NA
"2",1496106000,6
"3",1496109600,5.6
"4",1496113200,5
"5",1496116800,11.1
"6",1496120400,24.1
"7",1496124000,33.3
"8",1496127600,41.8
"9",1496131200,39
"10",1496134800,44.1
"11",1496138400,39.8
"12",1496142000,19.2
"13",1496145600,19.3
"14",1496149200,16.8
"15",1496152800,19.4
"16",1496156400,15.2
"17",1496160000,18.9
"18",1496163600,23.5
"19",1496167200,35.1
"20",1496170800,46.1
"21",1496174400,41.2
"22",1496178000,34
"23",1496181600,26.6
"24",1496185200,14.9
"25",1496188800,8.2
"26",1496192400,3.8
"27",1496196000,3.8
"28",1496199600,3.8
"29",1496203200,8.1
"30",1496206800,9
"31",1496210400,30.7
"32",1496214000,45.4
"33",1496217600,33.6
"34",1496221200,18
"35",1496224800,8.2
"36",1496228400,9.5
"37",1496232000,7.4
"38",1496235600,6.8
"39",1496239200,8.2
"40",1496242800,10.2
"41",1496246400,13.6
"42",1496250000,12.6
"43",1496253600,7.9
"44",1496257200,14.3
"45",1496260800,19.4
"46",1496264400,45.2
"47",1496268000,50.1
"48",1496271600,36.7
"49",1496275200,15
"50",1496278800,13.5
"51",1496282400,7.2
"52",1496286000,12.8
"53",1496289600,20.3
"54",1496293200,31.7
"55",1496296800,42
"56",1496300400,41.9
"57",1496304000,42.2
"58",1496307600,21.6
"59",1496311200,8.5
"60",1496314800,4.2
"61",1496318400,2
"62",1496322000,3
"63",1496325600,5.1
"64",1496329200,7
"65",1496332800,8.1
"66",1496336400,8.3
"67",1496340000,7.5
"68",1496343600,8.6
"69",1496347200,19.1
"70",1496350800,8.2
"71",1496354400,7.4
"72",1496358000,5.2
"73",1496361600,3.1
"74",1496365200,1.5
"75",1496368800,1.5
"76",1496372400,1.9
"77",1496376000,4.6
"78",1496379600,6.2
"79",1496383200,9.9
"80",1496386800,13.7
"81",1496390400,9.3
"82",1496394000,4.8
"83",1496397600,4.8
"84",1496401200,3.8
"85",1496404800,3.8
"86",1496408400,3.8
"87",1496412000,3.5
"88",1496415600,6.4
"89",1496419200,8.6
"90",1496422800,9.1
"91",1496426400,8.9
"92",1496430000,15.9
"93",1496433600,16.1
"94",1496437200,19.1
"95",1496440800,22.8
"96",1496444400,18.3
"97",1496448000,12.7
"98",1496451600,2.3
"99",1496455200,1.3
"100",1496458800,1.9
"101",1496462400,2.7
"102",1496466000,3.5
"103",1496469600,3.3
"104",1496473200,3.7
"105",1496476800,4.4
"106",1496480400,5.1
"107",1496484000,6
"108",1496487600,5.6
"109",1496491200,7
"110",1496494800,8.8
"111",1496498400,7.2
"112",1496502000,7.7
