"","t","NO2"
"1",1496102400,NA
"2",1496106000,6.1
"3",1496109600,6.1
"4",1496113200,7.1
"5",1496116800,14.6
"6",1496120400,31.9
"7",1496124000,34.7
"8",1496127600,43
"9",1496131200,39.5
"10",1496134800,41
"11",1496138400,35.6
"12",1496142000,27.3
"13",1496145600,25.3
"14",1496149200,22.8
"15",1496152800,24.5
"16",1496156400,17.5
"17",1496160000,16.5
"18",1496163600,22.2
"19",1496167200,32.6
"20",1496170800,34.5
"21",1496174400,31.8
"22",1496178000,25.9
"23",1496181600,19.9
"24",1496185200,12.1
"25",1496188800,9.4
"26",1496192400,7.8
"27",1496196000,6.5
"28",1496199600,15.4
"29",1496203200,7.4
"30",1496206800,13
"31",1496210400,33.5
"32",1496214000,40.6
"33",1496217600,26.9
"34",1496221200,19.7
"35",1496224800,14.6
"36",1496228400,11.4
"37",1496232000,12.7
"38",1496235600,15.2
"39",1496239200,12.1
"40",1496242800,9.1
"41",1496246400,10.9
"42",1496250000,10.7
"43",1496253600,8.8
"44",1496257200,10.5
"45",1496260800,26.1
"46",1496264400,41.5
"47",1496268000,46.1
"48",1496271600,35
"49",1496275200,30.5
"50",1496278800,27.6
"51",1496282400,24
"52",1496286000,15.6
"53",1496289600,22.4
"54",1496293200,24.5
"55",1496296800,29.7
"56",1496300400,34.3
"57",1496304000,37
"58",1496307600,21.3
"59",1496311200,13.2
"60",1496314800,9
"61",1496318400,6.5
"62",1496322000,7.8
"63",1496325600,NA
"64",1496329200,9.2
"65",1496332800,10.1
"66",1496336400,10.8
"67",1496340000,14.1
"68",1496343600,14.6
"69",1496347200,19.4
"70",1496350800,11.1
"71",1496354400,9.2
"72",1496358000,8
"73",1496361600,5.5
"74",1496365200,4.5
"75",1496368800,4.1
"76",1496372400,3.6
"77",1496376000,6.5
"78",1496379600,8.9
"79",1496383200,13.4
"80",1496386800,17.5
"81",1496390400,12
"82",1496394000,8.9
"83",1496397600,9.9
"84",1496401200,8.8
"85",1496404800,8.2
"86",1496408400,8.6
"87",1496412000,8.4
"88",1496415600,11.4
"89",1496419200,11.9
"90",1496422800,9.9
"91",1496426400,12.6
"92",1496430000,16.9
"93",1496433600,21.7
"94",1496437200,20.9
"95",1496440800,18.8
"96",1496444400,28.4
"97",1496448000,12.7
"98",1496451600,4.9
"99",1496455200,4.2
"100",1496458800,4.3
"101",1496462400,3.8
"102",1496466000,4.2
"103",1496469600,4.5
"104",1496473200,5.4
"105",1496476800,6.5
"106",1496480400,7.4
"107",1496484000,9.4
"108",1496487600,9.9
"109",1496491200,7.9
"110",1496494800,11.3
"111",1496498400,8.1
"112",1496502000,8.2
"113",1496505600,9.1
"114",1496509200,7.8
"115",1496512800,8
"116",1496516400,9.6
"117",1496520000,7.1
"118",1496523600,6.9
"119",1496527200,6.9
"120",1496530800,6
"121",1496534400,5.1
"122",1496538000,3.6
"123",1496541600,3.8
"124",1496545200,4.5
"125",1496548800,4.6
"126",1496552400,7.4
"127",1496556000,9.8
"128",1496559600,5.1
"129",1496563200,5.1
"130",1496566800,4.8
"131",1496570400,4.1
"132",1496574000,4.5
"133",1496577600,5.4
"134",1496581200,4.8
"135",1496584800,4.4
"136",1496588400,4.4
"137",1496592000,5.7
"138",1496595600,5.8
"139",1496599200,7.7
"140",1496602800,5.9
"141",1496606400,5.4
"142",1496610000,4.5
"143",1496613600,5.7
"144",1496617200,4.7
"145",1496620800,4.2
"146",1496624400,3.8
"147",1496628000,3.6
"148",1496631600,3.3
"149",1496635200,3.3
"150",1496638800,4.1
"151",1496642400,5.7
"152",1496646000,5.1
"153",1496649600,5
"154",1496653200,4.8
"155",1496656800,4.2
"156",1496660400,4.1
"157",1496664000,4
"158",1496667600,3.9
"159",1496671200,4.2
"160",1496674800,4.6
"161",1496678400,5.8
"162",1496682000,5.6
"163",1496685600,6
"164",1496689200,6.5
"165",1496692800,11.6
"166",1496696400,22.2
"167",1496700000,39.2
"168",1496703600,28.4
"169",1496707200,36.8
"170",1496710800,40.9
"171",1496714400,26.1
"172",1496718000,15.6
"173",1496721600,17.8
"174",1496725200,17.1
"175",1496728800,15.8
"176",1496732400,16.1
"177",1496736000,11.1
"178",1496739600,8.7
"179",1496743200,7.4
"180",1496746800,8.9
"181",1496750400,7.7
"182",1496754000,7.8
"183",1496757600,7.3
"184",1496761200,6.6
"185",1496764800,7.9
"186",1496768400,7
"187",1496772000,7.4
"188",1496775600,7.9
"189",1496779200,6.6
"190",1496782800,7.2
"191",1496786400,8.3
"192",1496790000,6.9
"193",1496793600,6.7
"194",1496797200,6.5
"195",1496800800,8
"196",1496804400,9.5
"197",1496808000,10
"198",1496811600,26.9
"199",1496815200,39.1
"200",1496818800,28.1
"201",1496822400,21.6
"202",1496826000,9.9
"203",1496829600,8.7
"204",1496833200,6.6
"205",1496836800,5.7
"206",1496840400,6.7
"207",1496844000,6.1
"208",1496847600,7.7
"209",1496851200,8.7
"210",1496854800,10.1
"211",1496858400,9.4
"212",1496862000,10.7
"213",1496865600,12.5
"214",1496869200,15.1
"215",1496872800,13.1
"216",1496876400,11.8
"217",1496880000,11.3
"218",1496883600,20.2
"219",1496887200,22.7
"220",1496890800,23
"221",1496894400,22.8
"222",1496898000,24.5
"223",1496901600,32.4
"224",1496905200,30.9
"225",1496908800,19.8
"226",1496912400,15.5
"227",1496916000,11.3
"228",1496919600,9.4
"229",1496923200,7.9
"230",1496926800,8.2
"231",1496930400,9
"232",1496934000,9
"233",1496937600,11.8
"234",1496941200,12.3
"235",1496944800,13.3
"236",1496948400,13
"237",1496952000,9.1
"238",1496955600,7.3
"239",1496959200,6.3
"240",1496962800,7.6
"241",1496966400,9.6
"242",1496970000,7.5
"243",1496973600,5.8
"244",1496977200,6.8
"245",1496980800,8.1
"246",1496984400,10
"247",1496988000,28.4
"248",1496991600,35
"249",1496995200,30.1
"250",1496998800,18.3
"251",1497002400,14.1
"252",1497006000,21.2
"253",1497009600,18.5
"254",1497013200,14.8
"255",1497016800,12.1
"256",1497020400,12.4
"257",1497024000,11.6
"258",1497027600,13.8
"259",1497031200,15.7
"260",1497034800,13.2
"261",1497038400,13.4
"262",1497042000,16.2
"263",1497045600,16.3
"264",1497049200,18.5
"265",1497052800,22.4
"266",1497056400,25.5
"267",1497060000,19.6
"268",1497063600,15.7
"269",1497067200,23.9
"270",1497070800,20.6
"271",1497074400,22.1
"272",1497078000,25.9
"273",1497081600,11.9
"274",1497085200,7.1
"275",1497088800,7.9
"276",1497092400,7.8
"277",1497096000,8.2
"278",1497099600,7.6
"279",1497103200,7.1
"280",1497106800,6.9
"281",1497110400,6.7
"282",1497114000,8.2
"283",1497117600,10.3
"284",1497121200,14.3
"285",1497124800,20.7
"286",1497128400,37.2
"287",1497132000,36.2
"288",1497135600,34.1
"289",1497139200,55.5
"290",1497142800,64.8
"291",1497146400,27
"292",1497150000,22.5
"293",1497153600,19.1
"294",1497157200,24.8
"295",1497160800,19.4
"296",1497164400,14.7
"297",1497168000,14.8
"298",1497171600,7.7
"299",1497175200,7.8
"300",1497178800,7.4
"301",1497182400,5.8
"302",1497186000,5.7
"303",1497189600,5.2
