"","t","NO2"
"1",1496102400,NA
"2",1496106000,37.6
"3",1496109600,46.6
"4",1496113200,43
"5",1496116800,56.6
"6",1496120400,72.7
"7",1496124000,92.5
"8",1496127600,66.1
"9",1496131200,83.7
"10",1496134800,96
"11",1496138400,101.9
"12",1496142000,96.6
"13",1496145600,99.2
"14",1496149200,109.6
"15",1496152800,100.6
"16",1496156400,113
"17",1496160000,102
"18",1496163600,116
"19",1496167200,98.2
"20",1496170800,90.7
"21",1496174400,71.9
"22",1496178000,65.4
"23",1496181600,53.4
"24",1496185200,27.9
"25",1496188800,21.3
"26",1496192400,19.4
"27",1496196000,14.1
"28",1496199600,18.6
"29",1496203200,39.6
"30",1496206800,78.4
"31",1496210400,83.5
"32",1496214000,96.1
"33",1496217600,88.5
"34",1496221200,89.9
"35",1496224800,93.1
"36",1496228400,89
"37",1496232000,96
"38",1496235600,101.4
"39",1496239200,108.7
"40",1496242800,107.5
"41",1496246400,99
"42",1496250000,103.5
"43",1496253600,85.9
"44",1496257200,94.4
"45",1496260800,102.6
"46",1496264400,93.5
"47",1496268000,79.1
"48",1496271600,57.7
"49",1496275200,56.1
"50",1496278800,38.3
"51",1496282400,34.7
"52",1496286000,31.4
"53",1496289600,42.2
"54",1496293200,55.2
"55",1496296800,78.4
"56",1496300400,77.2
"57",1496304000,73.6
"58",1496307600,73.1
"59",1496311200,81
"60",1496314800,91.9
"61",1496318400,88.6
"62",1496322000,95.9
"63",1496325600,117.1
"64",1496329200,121.2
"65",1496332800,128.2
"66",1496336400,138
"67",1496340000,112.3
"68",1496343600,87.6
"69",1496347200,73.7
"70",1496350800,48.3
"71",1496354400,39.7
"72",1496358000,30.7
"73",1496361600,20.6
"74",1496365200,18
"75",1496368800,13.6
"76",1496372400,27
"77",1496376000,44.7
"78",1496379600,77.1
"79",1496383200,84.5
"80",1496386800,71.9
"81",1496390400,72.2
"82",1496394000,64.9
"83",1496397600,75.2
"84",1496401200,90.9
"85",1496404800,91.4
"86",1496408400,106.8
"87",1496412000,108.5
"88",1496415600,105.1
"89",1496419200,95.3
"90",1496422800,117.8
"91",1496426400,104.8
"92",1496430000,86
"93",1496433600,73.9
"94",1496437200,73.1
"95",1496440800,71.8
"96",1496444400,66.6
"97",1496448000,35.3
"98",1496451600,21.6
"99",1496455200,17.2
"100",1496458800,18.1
"101",1496462400,19.1
"102",1496466000,42.7
"103",1496469600,52.2
"104",1496473200,78.5
"105",1496476800,87.2
"106",1496480400,86.9
"107",1496484000,86.2
"108",1496487600,68.4
"109",1496491200,53.4
"110",1496494800,68.5
"111",1496498400,58.7
"112",1496502000,52.2
"113",1496505600,57.5
"114",1496509200,66.9
"115",1496512800,55.4
"116",1496516400,40.8
"117",1496520000,30.6
"118",1496523600,26
"119",1496527200,25.2
"120",1496530800,37.8
"121",1496534400,28
"122",1496538000,22.6
"123",1496541600,21.3
"124",1496545200,20
"125",1496548800,33.6
"126",1496552400,40.1
"127",1496556000,25.9
"128",1496559600,18.3
"129",1496563200,40.7
"130",1496566800,56.9
"131",1496570400,62.7
"132",1496574000,59.8
"133",1496577600,62.7
"134",1496581200,61.9
"135",1496584800,78.9
"136",1496588400,78.7
"137",1496592000,66.7
"138",1496595600,88.6
"139",1496599200,70.6
"140",1496602800,57
"141",1496606400,32.8
"142",1496610000,28.2
"143",1496613600,34.8
