"","t","NO2"
"1",1496102400,NA
"2",1496106000,25.4
"3",1496109600,26.4
"4",1496113200,37
"5",1496116800,43
"6",1496120400,79.8
"7",1496124000,55.7
"8",1496127600,91.2
"9",1496131200,95.6
"10",1496134800,92.6
"11",1496138400,72.6
"12",1496142000,42.1
"13",1496145600,40.4
"14",1496149200,71.4
"15",1496152800,35.5
"16",1496156400,30.7
"17",1496160000,64.1
"18",1496163600,80
"19",1496167200,47.5
"20",1496170800,50.7
"21",1496174400,46.6
"22",1496178000,68.6
"23",1496181600,47
"24",1496185200,22.9
"25",1496188800,16.3
"26",1496192400,7.8
"27",1496196000,8.8
"28",1496199600,5.9
"29",1496203200,21
"30",1496206800,62.7
"31",1496210400,68.7
"32",1496214000,76.7
"33",1496217600,55.5
"34",1496221200,36.8
"35",1496224800,28.2
"36",1496228400,40.6
"37",1496232000,50.6
"38",1496235600,64.6
"39",1496239200,61.4
"40",1496242800,77.2
"41",1496246400,66.5
"42",1496250000,39.6
"43",1496253600,50.2
"44",1496257200,22.9
"45",1496260800,60.4
"46",1496264400,92
"47",1496268000,64.3
"48",1496271600,41.3
"49",1496275200,26.1
"50",1496278800,22
"51",1496282400,NA
"52",1496286000,28.7
"53",1496289600,46.4
"54",1496293200,71
"55",1496296800,96.6
"56",1496300400,93.3
"57",1496304000,69.1
"58",1496307600,53.4
"59",1496311200,55.6
"60",1496314800,60.4
"61",1496318400,65.6
"62",1496322000,57.6
"63",1496325600,63
"64",1496329200,71
"65",1496332800,86.7
"66",1496336400,80.3
"67",1496340000,85.4
"68",1496343600,67.5
"69",1496347200,92.3
"70",1496350800,28.2
"71",1496354400,16.9
"72",1496358000,16.7
"73",1496361600,13.5
"74",1496365200,15.7
"75",1496368800,28.8
"76",1496372400,38.2
"77",1496376000,56.5
"78",1496379600,73.3
"79",1496383200,92.3
"80",1496386800,76
"81",1496390400,58.8
"82",1496394000,48.8
"83",1496397600,48.8
"84",1496401200,58.6
"85",1496404800,56.2
"86",1496408400,64.6
"87",1496412000,73.1
"88",1496415600,82.3
"89",1496419200,94.9
"90",1496422800,87.3
"91",1496426400,97.4
"92",1496430000,63.8
"93",1496433600,33.8
"94",1496437200,57.1
"95",1496440800,62.6
"96",1496444400,40.9
"97",1496448000,16.7
"98",1496451600,6.9
"99",1496455200,4.8
"100",1496458800,4.1
"101",1496462400,6.7
"102",1496466000,16.7
"103",1496469600,14.4
"104",1496473200,16.8
"105",1496476800,18
"106",1496480400,22.1
"107",1496484000,20.9
"108",1496487600,18.2
"109",1496491200,17.4
"110",1496494800,25.3
"111",1496498400,18.2
"112",1496502000,28.9
"113",1496505600,15.9
"114",1496509200,14.3
"115",1496512800,17.7
"116",1496516400,21.7
"117",1496520000,17.6
"118",1496523600,10.6
"119",1496527200,12.1
"120",1496530800,10.3
"121",1496534400,6.9
"122",1496538000,7
"123",1496541600,NA
"124",1496545200,4.3
"125",1496548800,6.5
"126",1496552400,18.2
"127",1496556000,10.1
"128",1496559600,9
"129",1496563200,5.6
"130",1496566800,10.7
"131",1496570400,10.7
"132",1496574000,10.5
"133",1496577600,12.3
"134",1496581200,11.1
"135",1496584800,14.3
"136",1496588400,11.1
"137",1496592000,10.8
"138",1496595600,13.9
"139",1496599200,14.4
"140",1496602800,13.8
"141",1496606400,12.4
"142",1496610000,7.8
"143",1496613600,8.6
"144",1496617200,6.2
"145",1496620800,5.9
"146",1496624400,4.7
"147",1496628000,3.3
"148",1496631600,3.9
"149",1496635200,2.7
"150",1496638800,3.6
"151",1496642400,6.9
"152",1496646000,5.5
"153",1496649600,7.4
"154",1496653200,10.7
"155",1496656800,10.8
"156",1496660400,11.3
"157",1496664000,8.7
"158",1496667600,11.1
"159",1496671200,16.5
"160",1496674800,19.2
"161",1496678400,15.8
"162",1496682000,16.8
"163",1496685600,17.8
"164",1496689200,14.1
"165",1496692800,20.6
"166",1496696400,58.9
"167",1496700000,46.4
"168",1496703600,30.2
"169",1496707200,23.1
"170",1496710800,21.8
"171",1496714400,15
"172",1496718000,16.7
"173",1496721600,30.4
"174",1496725200,32.7
"175",1496728800,34.8
"176",1496732400,41.5
"177",1496736000,33.2
"178",1496739600,15.4
"179",1496743200,13.6
"180",1496746800,14
"181",1496750400,18.6
"182",1496754000,24
"183",1496757600,16.9
"184",1496761200,23.6
"185",1496764800,24.3
"186",1496768400,25.8
"187",1496772000,17.7
"188",1496775600,13.2
"189",1496779200,15.9
"190",1496782800,12.7
"191",1496786400,15.6
"192",1496790000,10.8
"193",1496793600,12
"194",1496797200,8.8
"195",1496800800,NA
"196",1496804400,7.3
"197",1496808000,18
