"","t","O3"
"1",1496102400,NA
"2",1496106000,76.3
"3",1496109600,66.3
"4",1496113200,57.2
"5",1496116800,42.2
"6",1496120400,20.3
"7",1496124000,4.3
"8",1496127600,6.9
"9",1496131200,22.1
"10",1496134800,19.3
"11",1496138400,46.5
"12",1496142000,54.1
"13",1496145600,56.4
"14",1496149200,61.4
"15",1496152800,53.5
"16",1496156400,59
"17",1496160000,63.9
"18",1496163600,65
"19",1496167200,44.5
"20",1496170800,24.8
"21",1496174400,17.5
"22",1496178000,27.6
"23",1496181600,43.8
"24",1496185200,46
"25",1496188800,49
"26",1496192400,53.2
"27",1496196000,60.6
"28",1496199600,40.9
"29",1496203200,54.5
"30",1496206800,62.2
"31",1496210400,38.4
"32",1496214000,44
"33",1496217600,62.6
"34",1496221200,71.6
"35",1496224800,79
"36",1496228400,83.9
"37",1496232000,88.3
"38",1496235600,89.1
"39",1496239200,94.4
"40",1496242800,109.9
"41",1496246400,100
"42",1496250000,91
"43",1496253600,95.7
"44",1496257200,92.7
"45",1496260800,62.8
"46",1496264400,27.8
"47",1496268000,12.4
"48",1496271600,23.4
"49",1496275200,13
"50",1496278800,20
"51",1496282400,22
"52",1496286000,10.4
"53",1496289600,2.3
"54",1496293200,3.2
"55",1496296800,2.9
"56",1496300400,8.8
"57",1496304000,17.7
"58",1496307600,60.5
"59",1496311200,82.1
"60",1496314800,104.4
"61",1496318400,113.4
"62",1496322000,117.3
"63",1496325600,119.5
"64",1496329200,120
"65",1496332800,125.7
"66",1496336400,122.4
"67",1496340000,113.3
"68",1496343600,104.9
"69",1496347200,93.6
"70",1496350800,78.6
"71",1496354400,71.1
"72",1496358000,66.4
"73",1496361600,67.6
"74",1496365200,66.9
"75",1496368800,64.1
"76",1496372400,66.8
"77",1496376000,61.8
"78",1496379600,47.1
"79",1496383200,47
"80",1496386800,61.7
"81",1496390400,67.2
"82",1496394000,73.3
"83",1496397600,81.1
"84",1496401200,96
"85",1496404800,107.9
"86",1496408400,115.6
"87",1496412000,116.7
"88",1496415600,114.9
"89",1496419200,116.8
"90",1496422800,121.3
"91",1496426400,117
"92",1496430000,91.3
"93",1496433600,84.7
"94",1496437200,69.1
"95",1496440800,57.7
"96",1496444400,52
"97",1496448000,63.5
"98",1496451600,69.6
"99",1496455200,74.7
"100",1496458800,72.8
"101",1496462400,74.9
"102",1496466000,71.8
"103",1496469600,73.3
"104",1496473200,72.4
"105",1496476800,73.1
"106",1496480400,71.7
"107",1496484000,69.6
"108",1496487600,67.9
"109",1496491200,60
"110",1496494800,60.1
"111",1496498400,66.3
"112",1496502000,68.3
"113",1496505600,64
"114",1496509200,68.2
"115",1496512800,62.1
"116",1496516400,56
"117",1496520000,55
"118",1496523600,51
"119",1496527200,50.2
"120",1496530800,46.9
"121",1496534400,36.7
"122",1496538000,40.2
"123",1496541600,57.2
"124",1496545200,51.2
"125",1496548800,48.3
"126",1496552400,42.9
"127",1496556000,44.8
"128",1496559600,49.5
"129",1496563200,64.9
"130",1496566800,67.2
"131",1496570400,69.8
"132",1496574000,72.1
"133",1496577600,70.9
"134",1496581200,68.1
"135",1496584800,67.1
"136",1496588400,66.9
"137",1496592000,64.8
"138",1496595600,61.7
"139",1496599200,60.8
"140",1496602800,58.3
"141",1496606400,56.2
"142",1496610000,54.6
"143",1496613600,49.2
"144",1496617200,50.4
"145",1496620800,49.3
"146",1496624400,50
"147",1496628000,50
"148",1496631600,51
"149",1496635200,50.2
"150",1496638800,50.6
"151",1496642400,48.5
"152",1496646000,49.8
"153",1496649600,52.2
"154",1496653200,54
"155",1496656800,58.5
"156",1496660400,67.8
"157",1496664000,71.8
"158",1496667600,74
"159",1496671200,78.5
"160",1496674800,83.4
"161",1496678400,82.9
"162",1496682000,82.1
"163",1496685600,82.6
"164",1496689200,83.1
"165",1496692800,68
"166",1496696400,43.2
"167",1496700000,12.1
"168",1496703600,25
"169",1496707200,24.5
"170",1496710800,22.5
"171",1496714400,27.9
"172",1496718000,26.8
"173",1496721600,16.1
"174",1496725200,26.2
"175",1496728800,40.8
"176",1496732400,45.8
"177",1496736000,56.5
"178",1496739600,66.3
"179",1496743200,79.8
"180",1496746800,84
"181",1496750400,85.2
"182",1496754000,82.3
"183",1496757600,84.5
"184",1496761200,82.7
"185",1496764800,81.5
"186",1496768400,80.2
"187",1496772000,80.2
"188",1496775600,76.6
"189",1496779200,72.1
"190",1496782800,69.6
"191",1496786400,63.1
"192",1496790000,61.7
"193",1496793600,57.7
