"","t","O3"
"1",1496102400,NA
"2",1496106000,79.5
"3",1496109600,78.9
"4",1496113200,65.8
"5",1496116800,61
"6",1496120400,28.3
"7",1496124000,15.3
"8",1496127600,12.6
"9",1496131200,14.2
"10",1496134800,21.3
"11",1496138400,46.4
"12",1496142000,73.3
"13",1496145600,72.7
"14",1496149200,69.5
"15",1496152800,56.6
"16",1496156400,60.8
"17",1496160000,68.8
"18",1496163600,66.9
"19",1496167200,57.3
"20",1496170800,47.7
"21",1496174400,44.5
"22",1496178000,37.2
"23",1496181600,38.4
"24",1496185200,45.1
"25",1496188800,62.6
"26",1496192400,66.4
"27",1496196000,65.8
"28",1496199600,59.9
"29",1496203200,63.7
"30",1496206800,73.3
"31",1496210400,50.8
"32",1496214000,30.2
"33",1496217600,51.3
"34",1496221200,67
"35",1496224800,79.6
"36",1496228400,79.7
"37",1496232000,86.5
"38",1496235600,89.6
"39",1496239200,97.7
"40",1496242800,103
"41",1496246400,100.9
"42",1496250000,93.5
"43",1496253600,92.1
"44",1496257200,85.2
"45",1496260800,70.8
"46",1496264400,31.5
"47",1496268000,26.8
"48",1496271600,35.8
"49",1496275200,41.5
"50",1496278800,50
"51",1496282400,48.3
"52",1496286000,33.8
"53",1496289600,13.6
"54",1496293200,14.6
"55",1496296800,10.6
"56",1496300400,12
"57",1496304000,12.9
"58",1496307600,54.7
"59",1496311200,85.3
"60",1496314800,105.5
"61",1496318400,109.6
"62",1496322000,111.5
"63",1496325600,112.7
"64",1496329200,116.6
"65",1496332800,121.4
"66",1496336400,123.2
"67",1496340000,121.3
"68",1496343600,108.2
"69",1496347200,86.9
"70",1496350800,75.4
"71",1496354400,65.8
"72",1496358000,62.9
"73",1496361600,64.3
"74",1496365200,64.5
"75",1496368800,61.9
"76",1496372400,58.5
"77",1496376000,57.9
"78",1496379600,57.8
"79",1496383200,56.6
"80",1496386800,56.3
"81",1496390400,63.7
"82",1496394000,74
"83",1496397600,82.8
"84",1496401200,93.1
"85",1496404800,102.5
"86",1496408400,109.1
"87",1496412000,111.2
"88",1496415600,112.7
"89",1496419200,115.9
"90",1496422800,121.5
"91",1496426400,122.6
"92",1496430000,99.9
"93",1496433600,91
"94",1496437200,76.1
"95",1496440800,65.2
"96",1496444400,62
"97",1496448000,62.6
"98",1496451600,70.2
"99",1496455200,74.7
"100",1496458800,71.8
"101",1496462400,72.6
"102",1496466000,67.9
"103",1496469600,68.8
"104",1496473200,70.3
"105",1496476800,69.5
"106",1496480400,70.1
"107",1496484000,69.9
"108",1496487600,67.7
"109",1496491200,61.6
"110",1496494800,60
"111",1496498400,69.4
"112",1496502000,67.3
"113",1496505600,66
"114",1496509200,71.5
"115",1496512800,72.6
"116",1496516400,60.8
"117",1496520000,61.1
"118",1496523600,66.5
"119",1496527200,52.5
"120",1496530800,51.1
"121",1496534400,42.4
"122",1496538000,45.9
"123",1496541600,57.3
"124",1496545200,56.4
"125",1496548800,52.1
"126",1496552400,50.3
"127",1496556000,44.1
"128",1496559600,51.9
"129",1496563200,64.4
"130",1496566800,66.5
"131",1496570400,68.7
"132",1496574000,69.5
"133",1496577600,68
"134",1496581200,66.2
"135",1496584800,67.1
"136",1496588400,68.3
"137",1496592000,66.2
"138",1496595600,65.2
"139",1496599200,63.9
"140",1496602800,57.7
"141",1496606400,55.5
"142",1496610000,55.8
"143",1496613600,48.3
"144",1496617200,48.3
"145",1496620800,48.8
"146",1496624400,47.8
"147",1496628000,48
"148",1496631600,49.5
"149",1496635200,50.4
"150",1496638800,49.6
"151",1496642400,48.9
"152",1496646000,50.6
"153",1496649600,49
"154",1496653200,52.5
"155",1496656800,58.3
"156",1496660400,64.8
"157",1496664000,69.5
"158",1496667600,72.7
"159",1496671200,75.9
"160",1496674800,79.2
"161",1496678400,79.9
"162",1496682000,80
"163",1496685600,79.9
"164",1496689200,80.9
"165",1496692800,66.2
"166",1496696400,50
"167",1496700000,23.8
"168",1496703600,27.3
"169",1496707200,37.4
"170",1496710800,25.4
"171",1496714400,33.5
"172",1496718000,30.3
"173",1496721600,21.4
"174",1496725200,26.1
"175",1496728800,39.8
"176",1496732400,44.2
"177",1496736000,53.3
"178",1496739600,66.3
"179",1496743200,82
"180",1496746800,82.9
"181",1496750400,84.1
"182",1496754000,82.5
"183",1496757600,84.1
"184",1496761200,81.8
"185",1496764800,78.3
"186",1496768400,77.8
"187",1496772000,76.6
"188",1496775600,76.1
"189",1496779200,71
"190",1496782800,64.9
"191",1496786400,61.8
"192",1496790000,53.7
"193",1496793600,57.3
"194",1496797200,56.9
"195",1496800800,58
"196",1496804400,54.2
"197",1496808000,45.4
"198",1496811600,32.8
"199",1496815200,24.4
"200",1496818800,25
"201",1496822400,46.5
"202",1496826000,61.6
"203",1496829600,67.3
"204",1496833200,69.5
"205",1496836800,74.7
"206",1496840400,77.4
"207",1496844000,79.2
"208",1496847600,79.6
"209",1496851200,84.1
"210",1496854800,88.6
"211",1496858400,87.1
"212",1496862000,78
"213",1496865600,69.9
"214",1496869200,55.8
"215",1496872800,53.6
"216",1496876400,51.8
"217",1496880000,51.5
"218",1496883600,51.1
"219",1496887200,56.6
"220",1496890800,41
"221",1496894400,26
"222",1496898000,8.2
"223",1496901600,21.9
"224",1496905200,27.3
"225",1496908800,34
"226",1496912400,63.1
"227",1496916000,75.8
"228",1496919600,79.2
"229",1496923200,81.5
"230",1496926800,84.2
"231",1496930400,88.1
"232",1496934000,89.6
"233",1496937600,89.9
"234",1496941200,92.1
"235",1496944800,105.1
"236",1496948400,101.7
"237",1496952000,98.2
"238",1496955600,96.6
"239",1496959200,96.4
"240",1496962800,92.6
"241",1496966400,85.9
"242",1496970000,83.4
"243",1496973600,76.1
"244",1496977200,61.8
"245",1496980800,58.1
"246",1496984400,51.1
"247",1496988000,33.1
"248",1496991600,43.7
"249",1496995200,51.1
"250",1496998800,56.1
"251",1497002400,60.8
"252",1497006000,63.3
"253",1497009600,77
"254",1497013200,92.8
"255",1497016800,100.5
"256",1497020400,101.7
"257",1497024000,103.1
"258",1497027600,101.1
"259",1497031200,97.2
"260",1497034800,95.2
"261",1497038400,86.6
"262",1497042000,74.1
"263",1497045600,61.9
"264",1497049200,48.7
"265",1497052800,43.7
"266",1497056400,50.1
"267",1497060000,52.7
"268",1497063600,44.2
"269",1497067200,12.2
"270",1497070800,7.5
"271",1497074400,17
"272",1497078000,31.9
"273",1497081600,53.8
"274",1497085200,76.5
"275",1497088800,92.7
"276",1497092400,94.5
"277",1497096000,100.2
"278",1497099600,98.8
"279",1497103200,98.3
"280",1497106800,95.6
"281",1497110400,99.4
"282",1497114000,109.2
"283",1497117600,111
"284",1497121200,97.6
"285",1497124800,70.4
"286",1497128400,66.6
"287",1497132000,58.2
"288",1497135600,27.3
"289",1497139200,19
"290",1497142800,14.2
"291",1497146400,37.4
"292",1497150000,12.4
"293",1497153600,7.3
"294",1497157200,27.3
"295",1497160800,27.6
"296",1497164400,42.4
"297",1497168000,66.4
"298",1497171600,96.2
"299",1497175200,105.3
"300",1497178800,106
"301",1497182400,109.3
"302",1497186000,111.8
"303",1497189600,110.3
"304",1497193200,112.3
"305",1497196800,115.4
"306",1497200400,120.6
"307",1497204000,122.8
"308",1497207600,118.8
"309",1497211200,89.7
"310",1497214800,75.1
"311",1497218400,66.9
"312",1497222000,62.5
"313",1497225600,62.7
"314",1497229200,59.2
"315",1497232800,51
"316",1497236400,35.8
"317",1497240000,34.4
"318",1497243600,30
"319",1497247200,24.3
"320",1497250800,22.5
"321",1497254400,23.3
"322",1497258000,28.1
"323",1497261600,29.6
"324",1497265200,36.6
"325",1497268800,44.9
"326",1497272400,61.4
"327",1497276000,74.7
"328",1497279600,82.3
"329",1497283200,88.5
"330",1497286800,93.1
"331",1497290400,92.4
"332",1497294000,89.4
"333",1497297600,81.8
"334",1497301200,66.8
"335",1497304800,43.3
"336",1497308400,39.8
"337",1497312000,46
"338",1497315600,43
"339",1497319200,32.5
"340",1497322800,34.4
"341",1497326400,25.2
"342",1497330000,20.7
"343",1497333600,16.4
"344",1497337200,27.3
"345",1497340800,38.8
"346",1497344400,51.7
"347",1497348000,89.7
"348",1497351600,97.9
"349",1497355200,98.1
"350",1497358800,110
"351",1497362400,120.3
"352",1497366000,119.7
"353",1497369600,128.9
"354",1497373200,137.1
"355",1497376800,135.2
"356",1497380400,129.6
"357",1497384000,114.2
"358",1497387600,78.8
"359",1497391200,65
"360",1497394800,66.3
"361",1497398400,66.5
"362",1497402000,91.5
"363",1497405600,83.1
"364",1497409200,86.8
"365",1497412800,76.3
"366",1497416400,66.5
"367",1497420000,64.2
"368",1497423600,63.2
"369",1497427200,79.7
"370",1497430800,75.3
"371",1497434400,83.7
"372",1497438000,103.4
"373",1497441600,117.6
"374",1497445200,115.8
"375",1497448800,123.3
"376",1497452400,124.8
"377",1497456000,119.6
"378",1497459600,100.9
"379",1497463200,98.8
"380",1497466800,94.2
"381",1497470400,84.1
"382",1497474000,79.8
"383",1497477600,60.5
"384",1497481200,63.7
"385",1497484800,53.2
"386",1497488400,58
"387",1497492000,61
"388",1497495600,61.1
"389",1497499200,58.6
"390",1497502800,63.7
"391",1497506400,60.5
"392",1497510000,62
"393",1497513600,63.3
"394",1497517200,65.9
"395",1497520800,69.4
"396",1497524400,78.6
"397",1497528000,90.4
"398",1497531600,93.4
"399",1497535200,93.3
"400",1497538800,87.8
"401",1497542400,87.1
"402",1497546000,83.1
"403",1497549600,82
"404",1497553200,80.1
"405",1497556800,73.5
"406",1497560400,69.5
"407",1497564000,65.6
"408",1497567600,66.4
"409",1497571200,69.3
"410",1497574800,71.5
"411",1497578400,75.9
"412",1497582000,73.9
"413",1497585600,72
"414",1497589200,69.8
"415",1497592800,61.7
"416",1497596400,58
"417",1497600000,59.9
"418",1497603600,62.6
"419",1497607200,68.1
"420",1497610800,73.3
"421",1497614400,78.5
"422",1497618000,85.3
"423",1497621600,91.1
"424",1497625200,92.3
"425",1497628800,90.7
"426",1497632400,90.9
"427",1497636000,90.3
"428",1497639600,87.4
"429",1497643200,84.4
"430",1497646800,78.9
"431",1497650400,70.7
"432",1497654000,63.3
"433",1497657600,69.2
"434",1497661200,65.7
"435",1497664800,63.9
"436",1497668400,59.2
"437",1497672000,59
"438",1497675600,50
"439",1497679200,45.3
"440",1497682800,57.9
"441",1497686400,65.5
"442",1497690000,76.4
"443",1497693600,85.5
"444",1497697200,89.6
"445",1497700800,93.7
"446",1497704400,103.3
"447",1497708000,107.9
"448",1497711600,112.5
"449",1497715200,107.2
"450",1497718800,103.6
"451",1497722400,104.3
"452",1497726000,98.1
"453",1497729600,82.7
"454",1497733200,72.5
"455",1497736800,65
"456",1497740400,54.7
"457",1497744000,52
"458",1497747600,42.8
"459",1497751200,50.7
"460",1497754800,44
"461",1497758400,38.9
"462",1497762000,48.8
"463",1497765600,56.2
"464",1497769200,61.9
"465",1497772800,71.6
"466",1497776400,84.5
"467",1497780000,93.6
"468",1497783600,96.5
"469",1497787200,98.3
"470",1497790800,98.9
"471",1497794400,99.8
"472",1497798000,106.2
"473",1497801600,113
"474",1497805200,125.9
"475",1497808800,133.2
"476",1497812400,133.8
"477",1497816000,130.6
"478",1497819600,137.3
"479",1497823200,144.3
"480",1497826800,141.8
"481",1497830400,130.5
"482",1497834000,121.3
"483",1497837600,113.3
"484",1497841200,109.3
"485",1497844800,110
"486",1497848400,111.4
"487",1497852000,103.7
"488",1497855600,99.7
"489",1497859200,101
"490",1497862800,105.8
"491",1497866400,113.4
"492",1497870000,118.3
"493",1497873600,120.6
"494",1497877200,121
"495",1497880800,115.2
"496",1497884400,111.9
"497",1497888000,111
"498",1497891600,107.3
"499",1497895200,102
"500",1497898800,99.6
"501",1497902400,99.6
"502",1497906000,99.6
"503",1497909600,96
"504",1497913200,89.4
"505",1497916800,87.5
"506",1497920400,85.1
"507",1497924000,75.7
"508",1497927600,72.9
"509",1497931200,69.3
"510",1497934800,70
"511",1497938400,69.7
"512",1497942000,70.3
"513",1497945600,78.9
"514",1497949200,88.1
"515",1497952800,99.8
"516",1497956400,112.9
"517",1497960000,125.4
"518",1497963600,125.9
"519",1497967200,129.9
"520",1497970800,136.9
"521",1497974400,136.6
"522",1497978000,124.8
"523",1497981600,120.6
"524",1497985200,115.3
"525",1497988800,101.5
"526",1497992400,90.8
"527",1497996000,84.4
"528",1497999600,83.4
"529",1498003200,82.6
"530",1498006800,83.5
"531",1498010400,82.2
"532",1498014000,80.1
"533",1498017600,74.2
"534",1498021200,64.2
"535",1498024800,53.8
"536",1498028400,46.6
"537",1498032000,48.3
"538",1498035600,63.1
"539",1498039200,96.8
"540",1498042800,120.7
"541",1498046400,142.8
"542",1498050000,143.3
"543",1498053600,138.4
"544",1498057200,151.3
"545",1498060800,141.7
"546",1498064400,146.1
"547",1498068000,141.4
"548",1498071600,138.3
"549",1498075200,101.2
"550",1498078800,86.4
"551",1498082400,88.3
"552",1498086000,96.1
"553",1498089600,90.4
"554",1498093200,93.7
"555",1498096800,98.7
"556",1498100400,97.4
"557",1498104000,83.9
"558",1498107600,77.2
"559",1498111200,68.8
"560",1498114800,64.3
"561",1498118400,64.7
"562",1498122000,81.6
"563",1498125600,115.1
"564",1498129200,145.5
"565",1498132800,168.9
"566",1498136400,173.1
"567",1498140000,167.8
"568",1498143600,156.9
"569",1498147200,153.8
"570",1498150800,147
"571",1498154400,144.2
"572",1498158000,145.1
"573",1498161600,125.5
"574",1498165200,105.4
"575",1498168800,88.5
"576",1498172400,84.9
"577",1498176000,88.2
"578",1498179600,87.8
"579",1498183200,84.4
"580",1498186800,79.8
"581",1498190400,74.9
"582",1498194000,65.8
"583",1498197600,64
"584",1498201200,60.5
"585",1498204800,62.4
"586",1498208400,70.8
"587",1498212000,73.2
"588",1498215600,74.5
"589",1498219200,74
"590",1498222800,79.4
"591",1498226400,78.8
"592",1498230000,79.1
"593",1498233600,75.4
"594",1498237200,73.5
"595",1498240800,75.4
"596",1498244400,73.3
"597",1498248000,72.2
"598",1498251600,71.4
"599",1498255200,70.3
"600",1498258800,71.1
"601",1498262400,65.7
"602",1498266000,56.2
"603",1498269600,52
"604",1498273200,46.8
"605",1498276800,45.4
"606",1498280400,44.4
"607",1498284000,43.8
"608",1498287600,46.6
"609",1498291200,50.1
"610",1498294800,50.3
"611",1498298400,55
"612",1498302000,67.5
"613",1498305600,71.3
"614",1498309200,72.8
"615",1498312800,73.2
"616",1498316400,71.3
"617",1498320000,71.3
"618",1498323600,70.2
"619",1498327200,72
"620",1498330800,70.9
"621",1498334400,68.5
"622",1498338000,66.3
"623",1498341600,60.4
