"","t","O3"
"1",1496102400,NA
"2",1496106000,76.3
"3",1496109600,74.7
"4",1496113200,67.8
"5",1496116800,56
"6",1496120400,26.3
"7",1496124000,12.8
"8",1496127600,8.1
"9",1496131200,15.8
"10",1496134800,25.5
"11",1496138400,43
"12",1496142000,62.2
"13",1496145600,67.4
"14",1496149200,66.1
"15",1496152800,47.6
"16",1496156400,60.8
"17",1496160000,69.7
"18",1496163600,55.1
"19",1496167200,63
"20",1496170800,25.5
"21",1496174400,28
"22",1496178000,26.6
"23",1496181600,29.7
"24",1496185200,33.6
"25",1496188800,35.4
"26",1496192400,37.6
"27",1496196000,43.1
"28",1496199600,43.6
"29",1496203200,45.8
"30",1496206800,51.5
"31",1496210400,32.7
"32",1496214000,30.2
"33",1496217600,47.4
"34",1496221200,56.1
"35",1496224800,64.4
"36",1496228400,79.5
"37",1496232000,77.3
"38",1496235600,81.1
"39",1496239200,90.2
"40",1496242800,95.5
"41",1496246400,91.4
"42",1496250000,84.6
"43",1496253600,83.9
"44",1496257200,81.2
"45",1496260800,61.4
"46",1496264400,37.3
"47",1496268000,27.4
"48",1496271600,28
"49",1496275200,19.7
"50",1496278800,15
"51",1496282400,14.2
"52",1496286000,16.9
"53",1496289600,10.2
"54",1496293200,7.8
"55",1496296800,4.8
"56",1496300400,7
"57",1496304000,9.1
"58",1496307600,40.7
"59",1496311200,65.2
"60",1496314800,91.1
"61",1496318400,100.2
"62",1496322000,101.7
"63",1496325600,NA
"64",1496329200,107.8
"65",1496332800,116.7
"66",1496336400,120.6
"67",1496340000,109.3
"68",1496343600,106.5
"69",1496347200,86.1
"70",1496350800,71
"71",1496354400,62.3
"72",1496358000,56.8
"73",1496361600,56.8
"74",1496365200,56.6
"75",1496368800,53.4
"76",1496372400,53.6
"77",1496376000,55.9
"78",1496379600,52.9
"79",1496383200,52.2
"80",1496386800,51.3
"81",1496390400,59.2
"82",1496394000,64.6
"83",1496397600,NA
"84",1496401200,NA
"85",1496404800,91.5
"86",1496408400,100.4
"87",1496412000,104.1
"88",1496415600,108.6
"89",1496419200,108.4
"90",1496422800,118.7
"91",1496426400,112.3
"92",1496430000,85.3
"93",1496433600,75.9
"94",1496437200,70.5
"95",1496440800,68.7
"96",1496444400,47.8
"97",1496448000,62.2
"98",1496451600,71.3
"99",1496455200,76
"100",1496458800,74.3
"101",1496462400,76.6
"102",1496466000,76.3
"103",1496469600,74.8
"104",1496473200,77.5
"105",1496476800,75.3
"106",1496480400,77.1
"107",1496484000,72
"108",1496487600,68.7
"109",1496491200,62.4
"110",1496494800,56
"111",1496498400,65
"112",1496502000,64.3
"113",1496505600,61.3
"114",1496509200,68.7
"115",1496512800,66.8
"116",1496516400,57.1
"117",1496520000,56.6
"118",1496523600,53.9
"119",1496527200,46.9
"120",1496530800,48.9
"121",1496534400,41.7
"122",1496538000,44.1
"123",1496541600,60.8
"124",1496545200,56.5
"125",1496548800,58
"126",1496552400,49.3
"127",1496556000,38.4
"128",1496559600,48.8
"129",1496563200,66.4
"130",1496566800,71.3
"131",1496570400,72.6
"132",1496574000,74.6
"133",1496577600,72.8
"134",1496581200,70.6
"135",1496584800,70.5
"136",1496588400,71
"137",1496592000,68.8
"138",1496595600,69.4
"139",1496599200,65.7
"140",1496602800,62.7
"141",1496606400,60
"142",1496610000,59.5
"143",1496613600,52.2
"144",1496617200,52
"145",1496620800,51.7
"146",1496624400,50.3
"147",1496628000,49.4
"148",1496631600,50
"149",1496635200,50.3
"150",1496638800,50.1
"151",1496642400,49.4
"152",1496646000,50.3
"153",1496649600,52.2
"154",1496653200,52.7
"155",1496656800,58.4
"156",1496660400,67.3
"157",1496664000,71.2
"158",1496667600,78.2
"159",1496671200,83.2
"160",1496674800,86.2
"161",1496678400,87.2
"162",1496682000,85.2
"163",1496685600,84.1
"164",1496689200,84.5
"165",1496692800,75.8
"166",1496696400,59.2
"167",1496700000,37.3
"168",1496703600,42.2
"169",1496707200,22.5
"170",1496710800,9.5
"171",1496714400,17.6
"172",1496718000,22.1
"173",1496721600,17.6
"174",1496725200,23.9
"175",1496728800,44.6
"176",1496732400,48.5
"177",1496736000,58.9
"178",1496739600,67
"179",1496743200,82.6
"180",1496746800,85
"181",1496750400,88.1
"182",1496754000,85.9
"183",1496757600,87.3
"184",1496761200,85.6
"185",1496764800,83.7
"186",1496768400,83.9
"187",1496772000,81.7
"188",1496775600,79.2
"189",1496779200,78
"190",1496782800,72.6
"191",1496786400,66.6
"192",1496790000,64.3
