"","t","PM10"
"1",1496102400,NA
"2",1496106000,18.5
"3",1496109600,13.4
"4",1496113200,14
"5",1496116800,14.2
"6",1496120400,18.5
"7",1496124000,23.8
"8",1496127600,28.4
"9",1496131200,25.8
"10",1496134800,18.7
"11",1496138400,18.7
"12",1496142000,17.4
"13",1496145600,14.3
"14",1496149200,9.2
"15",1496152800,8.9
"16",1496156400,7.3
"17",1496160000,6.4
"18",1496163600,8.5
"19",1496167200,13.9
"20",1496170800,17.6
"21",1496174400,22.2
"22",1496178000,17.3
"23",1496181600,13.5
"24",1496185200,8.8
"25",1496188800,12.4
"26",1496192400,11.1
"27",1496196000,7.6
"28",1496199600,4.3
"29",1496203200,5.6
"30",1496206800,6.4
"31",1496210400,8.6
"32",1496214000,7.1
"33",1496217600,6.3
"34",1496221200,4.9
"35",1496224800,1.5
"36",1496228400,NA
"37",1496232000,4.7
"38",1496235600,7.3
"39",1496239200,8.2
"40",1496242800,12.8
"41",1496246400,13.9
"42",1496250000,7.7
"43",1496253600,6.6
"44",1496257200,2.6
"45",1496260800,5.3
"46",1496264400,8.9
"47",1496268000,13.9
"48",1496271600,13.5
"49",1496275200,10.8
"50",1496278800,11.1
"51",1496282400,10.6
"52",1496286000,9.8
"53",1496289600,9.6
"54",1496293200,11.2
"55",1496296800,14
"56",1496300400,19.1
"57",1496304000,18.4
"58",1496307600,19.5
"59",1496311200,16.3
"60",1496314800,14.7
"61",1496318400,15
"62",1496322000,16.7
"63",1496325600,13.6
"64",1496329200,10.6
"65",1496332800,10.4
"66",1496336400,15.1
"67",1496340000,12.5
"68",1496343600,13.2
"69",1496347200,12.6
"70",1496350800,17.3
"71",1496354400,22.6
"72",1496358000,20.5
"73",1496361600,19.9
"74",1496365200,18.8
"75",1496368800,19.2
"76",1496372400,20.6
"77",1496376000,20.4
"78",1496379600,19.4
"79",1496383200,20.6
"80",1496386800,21.4
"81",1496390400,26.5
"82",1496394000,28.1
"83",1496397600,26.6
"84",1496401200,24.9
"85",1496404800,22.8
"86",1496408400,21.9
"87",1496412000,19.6
"88",1496415600,17.8
"89",1496419200,18.9
"90",1496422800,15.9
"91",1496426400,15.8
"92",1496430000,24.4
"93",1496433600,18.7
"94",1496437200,16.7
"95",1496440800,18
"96",1496444400,20
"97",1496448000,21.2
"98",1496451600,20.6
"99",1496455200,14.1
"100",1496458800,11.3
"101",1496462400,8.9
"102",1496466000,9.6
"103",1496469600,11.1
"104",1496473200,12.5
"105",1496476800,10.3
"106",1496480400,9.5
"107",1496484000,14
"108",1496487600,16.1
"109",1496491200,17
"110",1496494800,7.8
"111",1496498400,5
"112",1496502000,3.2
"113",1496505600,6
"114",1496509200,5.4
"115",1496512800,4.7
"116",1496516400,5.2
"117",1496520000,5.2
"118",1496523600,5.3
"119",1496527200,4.9
"120",1496530800,4.1
"121",1496534400,7
"122",1496538000,6.9
"123",1496541600,11.5
"124",1496545200,9.1
"125",1496548800,10.9
"126",1496552400,9
"127",1496556000,12
"128",1496559600,14.7
"129",1496563200,13
"130",1496566800,3.3
"131",1496570400,10.4
"132",1496574000,12.7
"133",1496577600,15.7
"134",1496581200,15
"135",1496584800,13.9
"136",1496588400,14.4
"137",1496592000,12.9
"138",1496595600,13.6
"139",1496599200,13.6
"140",1496602800,8.6
"141",1496606400,11.8
"142",1496610000,8.9
"143",1496613600,7.2
"144",1496617200,8.4
"145",1496620800,8.8
"146",1496624400,6
"147",1496628000,8.3
"148",1496631600,8.3
"149",1496635200,7.1
"150",1496638800,7.1
"151",1496642400,7
"152",1496646000,5.8
"153",1496649600,9.5
"154",1496653200,9.8
"155",1496656800,10.2
"156",1496660400,8.2
"157",1496664000,11.3
"158",1496667600,9.8
"159",1496671200,12.4
"160",1496674800,11.4
"161",1496678400,11.1
"162",1496682000,9.9
"163",1496685600,3.2
"164",1496689200,9.5
"165",1496692800,7.8
"166",1496696400,9
"167",1496700000,12.4
"168",1496703600,12
"169",1496707200,8.7
"170",1496710800,8.4
"171",1496714400,7.6
"172",1496718000,9.8
"173",1496721600,8.7
"174",1496725200,11.4
"175",1496728800,12.5
"176",1496732400,10.7
"177",1496736000,9.5
"178",1496739600,11.2
"179",1496743200,12.7
"180",1496746800,18
"181",1496750400,15.9
"182",1496754000,15.5
"183",1496757600,16.6
"184",1496761200,16.3
"185",1496764800,15.7
"186",1496768400,17
