"","t","PM10"
"1",1496102400,NA
"2",1496106000,13.1
"3",1496109600,13.8
"4",1496113200,16.3
"5",1496116800,16.3
"6",1496120400,19.9
"7",1496124000,23
"8",1496127600,26.3
"9",1496131200,20.3
"10",1496134800,11.9
"11",1496138400,14.6
"12",1496142000,12.8
"13",1496145600,7.2
"14",1496149200,8.9
"15",1496152800,6.5
"16",1496156400,5.1
"17",1496160000,7.4
"18",1496163600,13.8
"19",1496167200,13.8
"20",1496170800,13.3
"21",1496174400,15.3
"22",1496178000,12.9
"23",1496181600,13.8
"24",1496185200,8.1
"25",1496188800,5.6
"26",1496192400,5.2
"27",1496196000,3.7
"28",1496199600,3.6
"29",1496203200,4.4
"30",1496206800,5.1
"31",1496210400,8
"32",1496214000,10.6
"33",1496217600,6.1
"34",1496221200,3.8
"35",1496224800,3.4
"36",1496228400,5.7
"37",1496232000,4.7
"38",1496235600,6.9
"39",1496239200,7.6
"40",1496242800,6.8
"41",1496246400,5.5
"42",1496250000,5
"43",1496253600,6.5
"44",1496257200,6.3
"45",1496260800,7.6
"46",1496264400,16.9
"47",1496268000,17
"48",1496271600,9.1
"49",1496275200,12.9
"50",1496278800,10.7
"51",1496282400,7
"52",1496286000,8.3
"53",1496289600,13.2
"54",1496293200,14.7
"55",1496296800,16.4
"56",1496300400,21.4
"57",1496304000,32.6
"58",1496307600,16.1
"59",1496311200,17.6
"60",1496314800,17.5
"61",1496318400,14.7
"62",1496322000,10.1
"63",1496325600,9.7
"64",1496329200,8
"65",1496332800,9.9
"66",1496336400,12.1
"67",1496340000,10.7
"68",1496343600,11.3
"69",1496347200,16.2
"70",1496350800,21.3
"71",1496354400,20
"72",1496358000,22.3
"73",1496361600,24.3
"74",1496365200,17.6
"75",1496368800,21.8
"76",1496372400,30.8
"77",1496376000,32.8
"78",1496379600,24.9
"79",1496383200,26
"80",1496386800,22.2
"81",1496390400,26.3
"82",1496394000,23.6
"83",1496397600,20.8
"84",1496401200,21.1
"85",1496404800,21.4
"86",1496408400,12.5
"87",1496412000,13.8
"88",1496415600,10.9
"89",1496419200,10.2
"90",1496422800,11.4
"91",1496426400,15.5
"92",1496430000,15.7
"93",1496433600,12.1
"94",1496437200,15.7
"95",1496440800,15.7
"96",1496444400,15.2
"97",1496448000,13.5
"98",1496451600,12.2
"99",1496455200,9.8
"100",1496458800,8.8
"101",1496462400,7.8
"102",1496466000,8.4
"103",1496469600,7
"104",1496473200,7
"105",1496476800,7.5
"106",1496480400,13
"107",1496484000,10.8
"108",1496487600,13.6
"109",1496491200,9.3
"110",1496494800,6.7
"111",1496498400,5.7
"112",1496502000,5.6
"113",1496505600,6
"114",1496509200,5.2
"115",1496512800,4.5
"116",1496516400,3.3
"117",1496520000,3.9
"118",1496523600,4.5
"119",1496527200,4.1
"120",1496530800,4.3
"121",1496534400,6.4
"122",1496538000,10.9
"123",1496541600,9.3
"124",1496545200,11.2
"125",1496548800,12.2
"126",1496552400,10.7
"127",1496556000,12.4
"128",1496559600,16.8
"129",1496563200,14.3
"130",1496566800,11.7
"131",1496570400,9.5
"132",1496574000,11.3
"133",1496577600,11.5
"134",1496581200,12.8
"135",1496584800,9.3
"136",1496588400,10.3
"137",1496592000,10.8
"138",1496595600,10
"139",1496599200,7
"140",1496602800,8.4
"141",1496606400,7.2
"142",1496610000,7.1
"143",1496613600,6
"144",1496617200,6.9
"145",1496620800,5.8
"146",1496624400,4.8
"147",1496628000,6.9
"148",1496631600,8.5
"149",1496635200,7.6
"150",1496638800,8
"151",1496642400,8.3
"152",1496646000,8.5
"153",1496649600,10
"154",1496653200,9
"155",1496656800,9.2
"156",1496660400,8.7
"157",1496664000,10.8
"158",1496667600,11.6
"159",1496671200,10.3
"160",1496674800,7.1
"161",1496678400,6.8
"162",1496682000,6.5
"163",1496685600,4.9
"164",1496689200,4.5
"165",1496692800,8.2
"166",1496696400,7.6
"167",1496700000,14.4
"168",1496703600,12.9
"169",1496707200,10.3
"170",1496710800,8.2
"171",1496714400,6.1
"172",1496718000,5.5
"173",1496721600,8.3
"174",1496725200,10.7
"175",1496728800,7.2
"176",1496732400,7.2
"177",1496736000,5.8
"178",1496739600,7.4
"179",1496743200,15.4
"180",1496746800,16.2
"181",1496750400,17
"182",1496754000,17.9
"183",1496757600,18.9
"184",1496761200,18
"185",1496764800,14
"186",1496768400,16.6
"187",1496772000,13.4
"188",1496775600,17.2
"189",1496779200,13.3
"190",1496782800,10.6
"191",1496786400,12.4
"192",1496790000,8.7
"193",1496793600,9.1
"194",1496797200,9.3
"195",1496800800,10.2
"196",1496804400,10.2
"197",1496808000,13.4
"198",1496811600,10.5
"199",1496815200,11.9
"200",1496818800,13.8
"201",1496822400,12.8
"202",1496826000,18.9
"203",1496829600,34.4
"204",1496833200,11.7
"205",1496836800,10
"206",1496840400,17.8
"207",1496844000,16.2
"208",1496847600,18.3
"209",1496851200,13.7
"210",1496854800,15.7
"211",1496858400,13
"212",1496862000,11.6
"213",1496865600,12.3
"214",1496869200,13.3
"215",1496872800,10.6
"216",1496876400,10.2
"217",1496880000,12.6
"218",1496883600,9.2
"219",1496887200,12.5
"220",1496890800,8.1
"221",1496894400,10.4
"222",1496898000,11.6
"223",1496901600,16.7
"224",1496905200,15.5
"225",1496908800,15
"226",1496912400,18
"227",1496916000,20.6
"228",1496919600,19.5
"229",1496923200,18.9
"230",1496926800,32.1
"231",1496930400,25.9
"232",1496934000,24.4
"233",1496937600,20.6
"234",1496941200,21.7
"235",1496944800,21
"236",1496948400,23.2
"237",1496952000,23.1
"238",1496955600,17.4
"239",1496959200,19.1
"240",1496962800,19.8
"241",1496966400,21
"242",1496970000,17.3
"243",1496973600,11.8
"244",1496977200,17.4
"245",1496980800,14.5
"246",1496984400,15.8
"247",1496988000,14.1
"248",1496991600,16.6
"249",1496995200,17.4
"250",1496998800,17
"251",1497002400,15.9
