"","t","PM10"
"1",1496102400,NA
"2",1496106000,20.9
"3",1496109600,17.9
"4",1496113200,14.5
"5",1496116800,21
"6",1496120400,25.6
"7",1496124000,24.3
"8",1496127600,28.6
"9",1496131200,14.1
"10",1496134800,9.4
"11",1496138400,11.9
"12",1496142000,10.9
"13",1496145600,7.4
"14",1496149200,7.8
"15",1496152800,6.9
"16",1496156400,3.1
"17",1496160000,5.9
"18",1496163600,11.7
"19",1496167200,14.1
"20",1496170800,10.5
"21",1496174400,7.9
"22",1496178000,8.2
"23",1496181600,7.5
"24",1496185200,6.3
"25",1496188800,4.2
"26",1496192400,3.4
"27",1496196000,10.7
"28",1496199600,6.5
"29",1496203200,5.8
"30",1496206800,9.5
"31",1496210400,14
"32",1496214000,10.7
"33",1496217600,7.8
"34",1496221200,6.9
"35",1496224800,7.8
"36",1496228400,7.5
"37",1496232000,7.9
"38",1496235600,6.6
"39",1496239200,6.3
"40",1496242800,6.2
"41",1496246400,3.9
"42",1496250000,6.3
"43",1496253600,5.2
"44",1496257200,4.2
"45",1496260800,10.7
"46",1496264400,27.2
"47",1496268000,15.6
"48",1496271600,13
"49",1496275200,11.2
"50",1496278800,15.5
"51",1496282400,13.9
"52",1496286000,10.3
"53",1496289600,9.7
"54",1496293200,18.6
"55",1496296800,22.4
"56",1496300400,15.4
"57",1496304000,15.4
"58",1496307600,10.1
"59",1496311200,12.4
"60",1496314800,19.5
"61",1496318400,10.7
"62",1496322000,8.6
"63",1496325600,8.4
"64",1496329200,11.4
"65",1496332800,8.3
"66",1496336400,10.6
"67",1496340000,11
"68",1496343600,10.1
"69",1496347200,15.3
"70",1496350800,22
"71",1496354400,26.1
"72",1496358000,22.6
"73",1496361600,23.2
"74",1496365200,18.6
"75",1496368800,19.8
"76",1496372400,15.8
"77",1496376000,18.1
"78",1496379600,19
"79",1496383200,26.1
"80",1496386800,25.5
"81",1496390400,23
"82",1496394000,25
"83",1496397600,22.5
"84",1496401200,24.8
"85",1496404800,18.2
"86",1496408400,15.5
"87",1496412000,12.9
"88",1496415600,12.2
"89",1496419200,8.6
"90",1496422800,9.8
"91",1496426400,12.4
"92",1496430000,15.1
"93",1496433600,14.8
"94",1496437200,9.5
"95",1496440800,17.8
"96",1496444400,17.8
"97",1496448000,14.9
"98",1496451600,12.3
"99",1496455200,8.4
"100",1496458800,10.7
"101",1496462400,11.1
"102",1496466000,8.7
"103",1496469600,6.6
"104",1496473200,8.5
"105",1496476800,10.2
"106",1496480400,11
"107",1496484000,13.7
"108",1496487600,10
"109",1496491200,8.2
"110",1496494800,3.8
"111",1496498400,0.1
"112",1496502000,2.4
"113",1496505600,3.9
"114",1496509200,7
"115",1496512800,5.1
"116",1496516400,4.5
"117",1496520000,5
"118",1496523600,3.7
"119",1496527200,6.7
"120",1496530800,5
"121",1496534400,5.4
"122",1496538000,14.1
"123",1496541600,13.9
"124",1496545200,19
"125",1496548800,17.8
"126",1496552400,18.4
"127",1496556000,17.7
"128",1496559600,19.7
"129",1496563200,13.4
"130",1496566800,15
"131",1496570400,15.4
"132",1496574000,12.5
"133",1496577600,12
"134",1496581200,12.6
"135",1496584800,10.6
"136",1496588400,12.1
"137",1496592000,13
"138",1496595600,14.4
"139",1496599200,17.7
"140",1496602800,17.6
"141",1496606400,15.9
"142",1496610000,10
"143",1496613600,12.3
"144",1496617200,9.6
"145",1496620800,10
"146",1496624400,10.7
"147",1496628000,13.7
"148",1496631600,10
"149",1496635200,10.9
"150",1496638800,12.5
"151",1496642400,12.1
"152",1496646000,9.3
"153",1496649600,7.6
"154",1496653200,11.1
"155",1496656800,11.7
"156",1496660400,10.5
"157",1496664000,11.2
"158",1496667600,14.5
"159",1496671200,9
"160",1496674800,8.2
"161",1496678400,6.3
"162",1496682000,6.7
"163",1496685600,6.7
"164",1496689200,7.1
"165",1496692800,9.2
"166",1496696400,11.1
"167",1496700000,15.6
"168",1496703600,12.8
"169",1496707200,9.5
"170",1496710800,7.4
"171",1496714400,5.6
"172",1496718000,6
"173",1496721600,9.4
"174",1496725200,17.5
"175",1496728800,21.5
"176",1496732400,13.7
"177",1496736000,13.1
"178",1496739600,20.1
"179",1496743200,27.1
"180",1496746800,30.9
"181",1496750400,28.4
"182",1496754000,20.4
"183",1496757600,20
"184",1496761200,21.3
"185",1496764800,17.5
"186",1496768400,17.9
"187",1496772000,13.2
"188",1496775600,18.6
"189",1496779200,13.9
"190",1496782800,13.7
"191",1496786400,13.3
"192",1496790000,13.5
"193",1496793600,11.5
"194",1496797200,9.7
"195",1496800800,8.6
"196",1496804400,6.9
"197",1496808000,9.4
"198",1496811600,14.4
"199",1496815200,25.9
"200",1496818800,14.6
"201",1496822400,18.9
"202",1496826000,8.8
"203",1496829600,13.2
"204",1496833200,10.1
"205",1496836800,10.6
"206",1496840400,14.8
"207",1496844000,16.5
"208",1496847600,14.5
"209",1496851200,12.5
"210",1496854800,15.3
"211",1496858400,12.1
"212",1496862000,11.5
"213",1496865600,11.5
"214",1496869200,12.4
"215",1496872800,11.2
"216",1496876400,11.2
"217",1496880000,9.4
"218",1496883600,10.3
"219",1496887200,9.1
"220",1496890800,12.3
"221",1496894400,10.2
"222",1496898000,15.6
"223",1496901600,29.9
"224",1496905200,20.3
"225",1496908800,15.6
"226",1496912400,28.2
"227",1496916000,17.3
"228",1496919600,14.1
"229",1496923200,19.5
"230",1496926800,21.7
"231",1496930400,19
"232",1496934000,30.8
"233",1496937600,24.8
"234",1496941200,21.1
"235",1496944800,16
"236",1496948400,28.7
"237",1496952000,19
"238",1496955600,20.4
"239",1496959200,18.6
"240",1496962800,17
"241",1496966400,17.6
"242",1496970000,20.4
"243",1496973600,15.4
"244",1496977200,15.2
"245",1496980800,12.7
"246",1496984400,16.5
"247",1496988000,17.6
"248",1496991600,16.7
"249",1496995200,16.4
"250",1496998800,21.3
"251",1497002400,18.2
"252",1497006000,17
"253",1497009600,14.4
"254",1497013200,14.7
"255",1497016800,16.9
"256",1497020400,12.8
"257",1497024000,13
"258",1497027600,11
"259",1497031200,7.9
"260",1497034800,8.4
"261",1497038400,11.3
"262",1497042000,10.2
"263",1497045600,13.5
"264",1497049200,16.2
"265",1497052800,18
"266",1497056400,10.2
