"","t","PM10"
"1",1496102400,NA
"2",1496106000,16.3
"3",1496109600,20.1
"4",1496113200,12.8
"5",1496116800,16.2
"6",1496120400,24.2
"7",1496124000,40.8
"8",1496127600,49.5
"9",1496131200,53
"10",1496134800,50.3
"11",1496138400,42.2
"12",1496142000,41.4
"13",1496145600,47.5
"14",1496149200,42.1
"15",1496152800,36.4
"16",1496156400,34.9
"17",1496160000,32.4
"18",1496163600,39.5
"19",1496167200,43.5
"20",1496170800,34.2
"21",1496174400,24.5
"22",1496178000,22.7
"23",1496181600,22.9
"24",1496185200,17
"25",1496188800,11
"26",1496192400,10.5
"27",1496196000,7
"28",1496199600,6
"29",1496203200,7.5
"30",1496206800,13.2
"31",1496210400,19.6
"32",1496214000,22
"33",1496217600,20.6
"34",1496221200,23.9
"35",1496224800,22.5
"36",1496228400,25.7
"37",1496232000,21.2
"38",1496235600,21.6
"39",1496239200,24.2
"40",1496242800,20.5
"41",1496246400,24.7
"42",1496250000,26.5
"43",1496253600,26.6
"44",1496257200,24
"45",1496260800,26.4
"46",1496264400,28.3
"47",1496268000,27.5
"48",1496271600,23.5
"49",1496275200,19.4
"50",1496278800,17.4
"51",1496282400,14.4
"52",1496286000,13.8
"53",1496289600,15.4
"54",1496293200,17.9
"55",1496296800,28.6
"56",1496300400,35
"57",1496304000,41.5
"58",1496307600,37.3
"59",1496311200,27.4
"60",1496314800,28.6
"61",1496318400,31.6
"62",1496322000,27.7
"63",1496325600,25.7
"64",1496329200,37
"65",1496332800,34.6
"66",1496336400,42.5
"67",1496340000,50.7
"68",1496343600,38.5
"69",1496347200,34.9
"70",1496350800,36.7
"71",1496354400,30.6
"72",1496358000,27.1
"73",1496361600,23.3
"74",1496365200,21.6
"75",1496368800,22.6
"76",1496372400,21.6
"77",1496376000,22.3
"78",1496379600,25.9
"79",1496383200,31.7
"80",1496386800,34.6
"81",1496390400,35.8
"82",1496394000,35.3
"83",1496397600,37.1
"84",1496401200,33.1
"85",1496404800,32.6
"86",1496408400,25.6
"87",1496412000,25.2
"88",1496415600,29.2
"89",1496419200,28.2
"90",1496422800,22.8
"91",1496426400,37.4
"92",1496430000,46.7
"93",1496433600,29
"94",1496437200,19.9
"95",1496440800,10.4
"96",1496444400,21.8
"97",1496448000,24.7
"98",1496451600,19.1
"99",1496455200,12.5
"100",1496458800,12.2
"101",1496462400,13.3
"102",1496466000,15.8
"103",1496469600,19.5
"104",1496473200,21.1
"105",1496476800,25.3
"106",1496480400,29
"107",1496484000,28.3
"108",1496487600,25.8
"109",1496491200,27.6
"110",1496494800,28.1
"111",1496498400,16.6
"112",1496502000,20
"113",1496505600,16.7
"114",1496509200,14.5
"115",1496512800,16
"116",1496516400,16.6
"117",1496520000,11.6
"118",1496523600,9.4
"119",1496527200,12.3
"120",1496530800,11.4
"121",1496534400,11
"122",1496538000,10.4
"123",1496541600,10.2
"124",1496545200,7.8
"125",1496548800,9.5
"126",1496552400,13.4
"127",1496556000,14.9
"128",1496559600,13.2
"129",1496563200,13.8
"130",1496566800,18.2
"131",1496570400,23.1
"132",1496574000,21.8
"133",1496577600,22
"134",1496581200,22.8
"135",1496584800,23.2
