"","t","PM10"
"1",1496102400,NA
"2",1496106000,17
"3",1496109600,10.9
"4",1496113200,14.5
"5",1496116800,22.5
"6",1496120400,27.5
"7",1496124000,33.5
"8",1496127600,24.2
"9",1496131200,43.7
"10",1496134800,35.6
"11",1496138400,27.4
"12",1496142000,20.9
"13",1496145600,17.8
"14",1496149200,16.5
"15",1496152800,19.7
"16",1496156400,15
"17",1496160000,11.3
"18",1496163600,41.9
"19",1496167200,31.3
"20",1496170800,20.3
"21",1496174400,28.2
"22",1496178000,28.1
"23",1496181600,NA
"24",1496185200,NA
"25",1496188800,8.4
"26",1496192400,8
"27",1496196000,16.1
"28",1496199600,14.2
"29",1496203200,13.5
"30",1496206800,18.4
"31",1496210400,18
"32",1496214000,14.2
"33",1496217600,9.6
"34",1496221200,8.6
"35",1496224800,10.4
"36",1496228400,20.1
"37",1496232000,23.4
"38",1496235600,29.3
"39",1496239200,31.9
"40",1496242800,22.5
"41",1496246400,22.1
"42",1496250000,23
"43",1496253600,16.6
"44",1496257200,11.5
"45",1496260800,7.7
"46",1496264400,15.3
"47",1496268000,18.1
"48",1496271600,12.6
"49",1496275200,16.4
"50",1496278800,12.7
"51",1496282400,11.4
"52",1496286000,18.2
"53",1496289600,19.6
"54",1496293200,35
"55",1496296800,58.5
"56",1496300400,64.6
"57",1496304000,54.4
"58",1496307600,42.3
"59",1496311200,36.6
"60",1496314800,30.2
"61",1496318400,24.2
"62",1496322000,22.1
"63",1496325600,23.5
"64",1496329200,17.7
"65",1496332800,18.8
"66",1496336400,17
"67",1496340000,19.3
"68",1496343600,21.4
"69",1496347200,18.3
"70",1496350800,22.6
"71",1496354400,25.2
"72",1496358000,25.7
"73",1496361600,20.9
"74",1496365200,20.7
"75",1496368800,14.5
"76",1496372400,16.9
"77",1496376000,20.1
"78",1496379600,34.6
"79",1496383200,46.2
"80",1496386800,53.5
"81",1496390400,38.8
"82",1496394000,38
"83",1496397600,33.2
"84",1496401200,31.7
"85",1496404800,27.8
"86",1496408400,23.4
"87",1496412000,20.6
"88",1496415600,23
"89",1496419200,28.4
"90",1496422800,23.5
"91",1496426400,28.3
"92",1496430000,28.7
"93",1496433600,18.9
"94",1496437200,18.9
"95",1496440800,17.8
"96",1496444400,28.6
"97",1496448000,21.3
"98",1496451600,16.9
"99",1496455200,13.5
"100",1496458800,16.2
"101",1496462400,11.4
"102",1496466000,10.5
"103",1496469600,10.3
"104",1496473200,13.5
"105",1496476800,7.5
"106",1496480400,9.7
"107",1496484000,13.5
"108",1496487600,9.1
"109",1496491200,12.2
"110",1496494800,11.4
"111",1496498400,NA
"112",1496502000,4.6
"113",1496505600,5.7
"114",1496509200,6.1
"115",1496512800,4.7
"116",1496516400,10.1
"117",1496520000,17.8
"118",1496523600,5.4
"119",1496527200,5.8
"120",1496530800,3.8
"121",1496534400,8.9
"122",1496538000,6.9
"123",1496541600,9.4
"124",1496545200,11.4
"125",1496548800,12.6
"126",1496552400,15.7
"127",1496556000,13
"128",1496559600,13.3
"129",1496563200,10.9
"130",1496566800,11.3
"131",1496570400,15.1
"132",1496574000,12.5
"133",1496577600,20
"134",1496581200,21.2
"135",1496584800,19.6
"136",1496588400,15.9
"137",1496592000,14.1
"138",1496595600,12.3
"139",1496599200,6.5
"140",1496602800,7.2
"141",1496606400,10.1
"142",1496610000,10.3
"143",1496613600,8.5
"144",1496617200,8.2
"145",1496620800,9.9
"146",1496624400,7.6
"147",1496628000,7.9
"148",1496631600,7.8
"149",1496635200,10.9
"150",1496638800,8.4
"151",1496642400,6.8
"152",1496646000,3
"153",1496649600,8
"154",1496653200,10.2
"155",1496656800,13.9
"156",1496660400,15.7
"157",1496664000,16.6
"158",1496667600,12.4
"159",1496671200,9.4
"160",1496674800,6.4
"161",1496678400,14
"162",1496682000,9
"163",1496685600,17.3
"164",1496689200,29.3
"165",1496692800,13.2
"166",1496696400,25.5
"167",1496700000,27.6
"168",1496703600,9.8
"169",1496707200,9.6
"170",1496710800,12.2
"171",1496714400,14.6
"172",1496718000,13.4
"173",1496721600,8
"174",1496725200,15.6
"175",1496728800,14.3
"176",1496732400,10.1
"177",1496736000,8.4
"178",1496739600,11.1
"179",1496743200,15.1
"180",1496746800,19.8
"181",1496750400,16.7
"182",1496754000,19
"183",1496757600,17.1
"184",1496761200,18.6
"185",1496764800,20.5
"186",1496768400,21.1
"187",1496772000,12.9
"188",1496775600,7.2
"189",1496779200,12.6
"190",1496782800,15.1
"191",1496786400,16.6
"192",1496790000,15.2
"193",1496793600,11.3
"194",1496797200,9.7
"195",1496800800,9.8
"196",1496804400,13
"197",1496808000,10.2
"198",1496811600,10
"199",1496815200,16.2
"200",1496818800,24.5
"201",1496822400,25.2
"202",1496826000,22.4
"203",1496829600,12.9
"204",1496833200,13
"205",1496836800,16.9
"206",1496840400,11.2
"207",1496844000,19.4
"208",1496847600,18.7
"209",1496851200,14.6
"210",1496854800,15.7
"211",1496858400,21.3
"212",1496862000,19.6
"213",1496865600,19
"214",1496869200,16.3
"215",1496872800,14.2
"216",1496876400,15.4
"217",1496880000,14.4
"218",1496883600,12.3
"219",1496887200,10.7
"220",1496890800,8.8
"221",1496894400,7.9
"222",1496898000,20
"223",1496901600,25.5
"224",1496905200,34
"225",1496908800,30.7
"226",1496912400,29.5
"227",1496916000,25.4
"228",1496919600,30
"229",1496923200,25.2
"230",1496926800,24.8
"231",1496930400,19.2
"232",1496934000,27.2
"233",1496937600,27
"234",1496941200,25.6
"235",1496944800,21.2
"236",1496948400,20.5
"237",1496952000,16.5
"238",1496955600,16.4
"239",1496959200,18.1
"240",1496962800,15.9
"241",1496966400,21.6
"242",1496970000,17.8
"243",1496973600,19.6
"244",1496977200,26.5
"245",1496980800,21.4
"246",1496984400,24.1
"247",1496988000,25.1
"248",1496991600,33.7
"249",1496995200,36.4
"250",1496998800,30.5
"251",1497002400,34.1
"252",1497006000,24.9
"253",1497009600,17.8
"254",1497013200,23.4
"255",1497016800,17.6
"256",1497020400,19.2
"257",1497024000,15.5
"258",1497027600,12
"259",1497031200,9
"260",1497034800,10.6
"261",1497038400,12.8
"262",1497042000,12.7
"263",1497045600,12.2
"264",1497049200,12.7
"265",1497052800,15.1
"266",1497056400,18.5
"267",1497060000,10.7
"268",1497063600,15.8
"269",1497067200,13.8
"270",1497070800,15
"271",1497074400,12.6
"272",1497078000,10.6
"273",1497081600,20.8
"274",1497085200,18.4
"275",1497088800,15.4
"276",1497092400,16.6
"277",1497096000,19.6
