"","t","PM25"
"1",1496102400,NA
"2",1496106000,10.6
"3",1496109600,10.7
"4",1496113200,9.5
"5",1496116800,12.8
"6",1496120400,13.9
"7",1496124000,16.4
"8",1496127600,16.9
"9",1496131200,21.5
"10",1496134800,26.2
"11",1496138400,16.8
"12",1496142000,13.4
"13",1496145600,9.6
"14",1496149200,8.4
"15",1496152800,11.4
"16",1496156400,7.4
"17",1496160000,5.9
"18",1496163600,9.3
"19",1496167200,13.2
"20",1496170800,13.1
"21",1496174400,11.3
"22",1496178000,12.3
"23",1496181600,13.7
"24",1496185200,11.7
"25",1496188800,6.6
"26",1496192400,6
"27",1496196000,5.9
"28",1496199600,5.2
"29",1496203200,6.3
"30",1496206800,4.1
"31",1496210400,4.2
"32",1496214000,6.7
"33",1496217600,6.4
"34",1496221200,6.8
"35",1496224800,4.9
"36",1496228400,5
"37",1496232000,4.9
"38",1496235600,2.5
"39",1496239200,3.3
"40",1496242800,5.6
"41",1496246400,5.8
"42",1496250000,5.7
"43",1496253600,5.9
"44",1496257200,6.2
"45",1496260800,4
"46",1496264400,7.3
"47",1496268000,12.7
"48",1496271600,13.4
"49",1496275200,9.9
"50",1496278800,10.9
"51",1496282400,6.5
"52",1496286000,5.9
"53",1496289600,8.2
"54",1496293200,9.2
"55",1496296800,10.3
"56",1496300400,9.3
"57",1496304000,12.2
"58",1496307600,10.7
"59",1496311200,9.5
"60",1496314800,10.4
"61",1496318400,8.9
"62",1496322000,9.7
"63",1496325600,8.9
"64",1496329200,9.4
"65",1496332800,10.7
"66",1496336400,10.6
"67",1496340000,10.3
"68",1496343600,9.1
"69",1496347200,12.1
"70",1496350800,13.1
"71",1496354400,14.5
"72",1496358000,11.2
"73",1496361600,10.9
"74",1496365200,11.1
"75",1496368800,12.8
"76",1496372400,16.7
"77",1496376000,14.9
"78",1496379600,15.3
"79",1496383200,16.9
"80",1496386800,18.2
"81",1496390400,14.9
"82",1496394000,14.4
"83",1496397600,14.9
"84",1496401200,17
"85",1496404800,14.1
"86",1496408400,14.8
"87",1496412000,11.5
"88",1496415600,13.9
"89",1496419200,12.6
"90",1496422800,11.1
"91",1496426400,13.4
"92",1496430000,8.8
"93",1496433600,11.5
"94",1496437200,12
"95",1496440800,14.7
"96",1496444400,13
"97",1496448000,12.4
"98",1496451600,6.9
"99",1496455200,8.5
"100",1496458800,10.4
"101",1496462400,10.6
"102",1496466000,6.5
"103",1496469600,8.3
"104",1496473200,8.8
"105",1496476800,7.1
"106",1496480400,8.2
"107",1496484000,9.1
"108",1496487600,7.6
"109",1496491200,9.3
"110",1496494800,6.4
"111",1496498400,4.6
"112",1496502000,4.9
"113",1496505600,1.9
"114",1496509200,1.8
"115",1496512800,2.1
"116",1496516400,4.5
"117",1496520000,3.9
"118",1496523600,1.7
"119",1496527200,2.7
"120",1496530800,4.2
"121",1496534400,2.3
"122",1496538000,2.4
"123",1496541600,4.3
"124",1496545200,4.7
"125",1496548800,NA
"126",1496552400,NA
"127",1496556000,0.4
"128",1496559600,5.4
"129",1496563200,5.5
"130",1496566800,3.8
"131",1496570400,3.2
"132",1496574000,7
"133",1496577600,4
"134",1496581200,1.1
"135",1496584800,5.1
"136",1496588400,2.8
"137",1496592000,1.8
"138",1496595600,1.9
"139",1496599200,5.5
"140",1496602800,4.1
"141",1496606400,4.6
"142",1496610000,2.5
"143",1496613600,3.6
"144",1496617200,3.1
"145",1496620800,3.6
"146",1496624400,5.3
"147",1496628000,3.6
"148",1496631600,3.2
"149",1496635200,0
"150",1496638800,5.5
"151",1496642400,4.2
"152",1496646000,2.4
"153",1496649600,3
"154",1496653200,5.2
"155",1496656800,4
"156",1496660400,6.2
"157",1496664000,7.4
"158",1496667600,5.3
"159",1496671200,3.7
"160",1496674800,3
"161",1496678400,6.4
"162",1496682000,6.3
"163",1496685600,3.9
"164",1496689200,5.4
"165",1496692800,6
"166",1496696400,3.9
"167",1496700000,4.3
"168",1496703600,6.5
"169",1496707200,6.9
"170",1496710800,5.4
"171",1496714400,2.8
"172",1496718000,7.7
"173",1496721600,5.2
"174",1496725200,5.8
"175",1496728800,4.5
"176",1496732400,4.2
"177",1496736000,2.2
"178",1496739600,5.3
"179",1496743200,5.7
"180",1496746800,3.8
"181",1496750400,5.5
"182",1496754000,4.6
"183",1496757600,7.8
"184",1496761200,5.8
"185",1496764800,6.1
"186",1496768400,7
"187",1496772000,6.9
"188",1496775600,5.6
"189",1496779200,5.3
"190",1496782800,4.5
"191",1496786400,5.4
"192",1496790000,7.7
"193",1496793600,1.8
"194",1496797200,7.4
"195",1496800800,6.9
"196",1496804400,5.5
"197",1496808000,5.2
"198",1496811600,1.2
"199",1496815200,2.7
"200",1496818800,3.9
"201",1496822400,7.2
"202",1496826000,6.6
"203",1496829600,5.6
"204",1496833200,4.7
"205",1496836800,7.4
"206",1496840400,9
"207",1496844000,3.7
"208",1496847600,9.2
"209",1496851200,7
"210",1496854800,8.2
"211",1496858400,7.5
"212",1496862000,10.5
"213",1496865600,5.5
"214",1496869200,2.2
"215",1496872800,5.5
"216",1496876400,5.5
"217",1496880000,4.2
"218",1496883600,1.5
"219",1496887200,2
"220",1496890800,6.3
"221",1496894400,8
"222",1496898000,5
"223",1496901600,5.1
"224",1496905200,5.8
"225",1496908800,2.9
"226",1496912400,7.3
"227",1496916000,9.4
"228",1496919600,7.4
"229",1496923200,6.2
"230",1496926800,7.4
"231",1496930400,9.4
"232",1496934000,9.8
"233",1496937600,12.9
"234",1496941200,9.5
"235",1496944800,10.7
"236",1496948400,7.1
"237",1496952000,2.6
"238",1496955600,4.1
"239",1496959200,7.2
"240",1496962800,7.9
"241",1496966400,10.4
"242",1496970000,12.1
"243",1496973600,14.9
"244",1496977200,10.7
"245",1496980800,13.4
"246",1496984400,11
"247",1496988000,12.7
"248",1496991600,13.7
"249",1496995200,9.9
"250",1496998800,14.2
"251",1497002400,11.1
"252",1497006000,14.1
"253",1497009600,15.3
"254",1497013200,13.9
"255",1497016800,12.3
"256",1497020400,11.4
"257",1497024000,9.1
"258",1497027600,10.8
"259",1497031200,8.8
"260",1497034800,9.6
"261",1497038400,11.6
"262",1497042000,12.6
"263",1497045600,12.2
"264",1497049200,13.1
"265",1497052800,14.5
"266",1497056400,14.8
"267",1497060000,12.1
"268",1497063600,5.8
"269",1497067200,5.1
"270",1497070800,11.5
"271",1497074400,15.3
"272",1497078000,15.2
"273",1497081600,11.8
"274",1497085200,9.7
"275",1497088800,9.7
"276",1497092400,10.5
"277",1497096000,10
"278",1497099600,9
"279",1497103200,11.4
"280",1497106800,11.5
"281",1497110400,11.5
"282",1497114000,10.4
"283",1497117600,8.5
"284",1497121200,8.2
"285",1497124800,10.1
"286",1497128400,14.2
"287",1497132000,13.3
"288",1497135600,17.3
"289",1497139200,20.6
"290",1497142800,17.1
"291",1497146400,14.8
"292",1497150000,14
"293",1497153600,11.2
"294",1497157200,16.1
"295",1497160800,14.1
"296",1497164400,16.8
"297",1497168000,15.3
"298",1497171600,14.4
"299",1497175200,14.8
"300",1497178800,13.1
"301",1497182400,12.2
"302",1497186000,12.9
"303",1497189600,13
"304",1497193200,14.1
"305",1497196800,14.8
"306",1497200400,15
"307",1497204000,14.7
"308",1497207600,16.9
"309",1497211200,17.1
"310",1497214800,16.9
"311",1497218400,14.4
"312",1497222000,16.5
"313",1497225600,14.6
"314",1497229200,11.1
"315",1497232800,12
"316",1497236400,7.5
"317",1497240000,5.2
"318",1497243600,7.5
"319",1497247200,4.4
"320",1497250800,7.8
"321",1497254400,6.8
"322",1497258000,6.2
"323",1497261600,7.7
"324",1497265200,12.1
"325",1497268800,7.4
"326",1497272400,9.7
"327",1497276000,13.6
"328",1497279600,12.4
"329",1497283200,12
"330",1497286800,13.9
"331",1497290400,15.5
"332",1497294000,15.9
"333",1497297600,16.3
"334",1497301200,13.7
"335",1497304800,14.3
"336",1497308400,14.9
"337",1497312000,16.3
"338",1497315600,14
"339",1497319200,12.3
"340",1497322800,14.4
"341",1497326400,12.2
"342",1497330000,11.7
"343",1497333600,8
"344",1497337200,7.8
"345",1497340800,16.5
"346",1497344400,20.3
"347",1497348000,17.6
"348",1497351600,15.3
"349",1497355200,18
"350",1497358800,19.5
"351",1497362400,21.8
"352",1497366000,20.8
"353",1497369600,23.8
"354",1497373200,23.8
"355",1497376800,22.6
"356",1497380400,24.2
"357",1497384000,21
"358",1497387600,19.8
"359",1497391200,15.8
"360",1497394800,18.4
"361",1497398400,17.4
"362",1497402000,13.4
"363",1497405600,12.1
"364",1497409200,12.1
"365",1497412800,12.5
"366",1497416400,11.1
"367",1497420000,9.3
"368",1497423600,11.6
"369",1497427200,10.1
"370",1497430800,10.6
"371",1497434400,14.3
"372",1497438000,12.9
"373",1497441600,14.3
"374",1497445200,13.7
"375",1497448800,16.5
"376",1497452400,18.7
"377",1497456000,20.4
"378",1497459600,19.5
"379",1497463200,17.8
"380",1497466800,16
"381",1497470400,14.4
"382",1497474000,11.9
"383",1497477600,11.4
"384",1497481200,11.5
"385",1497484800,11.6
"386",1497488400,11.5
"387",1497492000,10.2
"388",1497495600,11.8
"389",1497499200,14
"390",1497502800,10.5
"391",1497506400,10.2
"392",1497510000,12.1
"393",1497513600,15.6
"394",1497517200,16.4
"395",1497520800,16
"396",1497524400,17
"397",1497528000,19.3
"398",1497531600,15.7
"399",1497535200,15.9
"400",1497538800,16.5
"401",1497542400,14.5
"402",1497546000,13.8
"403",1497549600,16.1
"404",1497553200,19.8
"405",1497556800,21
"406",1497560400,19.7
"407",1497564000,18.9
"408",1497567600,18.2
"409",1497571200,15.4
"410",1497574800,13.6
"411",1497578400,10.1
"412",1497582000,11.6
"413",1497585600,13.5
"414",1497589200,11.4
"415",1497592800,9.2
"416",1497596400,9.2
"417",1497600000,8.1
"418",1497603600,3.6
"419",1497607200,9.9
"420",1497610800,11.7
"421",1497614400,8.3
"422",1497618000,9.6
"423",1497621600,8
"424",1497625200,8.1
"425",1497628800,10
"426",1497632400,9.9
"427",1497636000,9.7
"428",1497639600,9.5
"429",1497643200,5.8
"430",1497646800,9.8
"431",1497650400,8.2
"432",1497654000,7.6
"433",1497657600,7.5
"434",1497661200,4.7
"435",1497664800,9
"436",1497668400,7.5
"437",1497672000,12.8
"438",1497675600,8.6
"439",1497679200,4.5
"440",1497682800,8.3
"441",1497686400,8.8
"442",1497690000,8
"443",1497693600,9.4
"444",1497697200,7.5
"445",1497700800,7.4
"446",1497704400,7.5
"447",1497708000,9.2
"448",1497711600,10.8
"449",1497715200,9.3
"450",1497718800,10.4
"451",1497722400,11.2
"452",1497726000,11.8
"453",1497729600,9.8
"454",1497733200,11.6
"455",1497736800,9.8
"456",1497740400,10.6
"457",1497744000,9.8
"458",1497747600,7.4
"459",1497751200,3.6
"460",1497754800,7.5
"461",1497758400,6.4
"462",1497762000,7.7
"463",1497765600,4.2
"464",1497769200,1.6
"465",1497772800,2.2
"466",1497776400,7.3
"467",1497780000,8.2
"468",1497783600,9.5
"469",1497787200,7.7
"470",1497790800,6.8
"471",1497794400,9
"472",1497798000,9.7
"473",1497801600,9.9
"474",1497805200,12.8
"475",1497808800,14.6
"476",1497812400,14.4
"477",1497816000,14.7
"478",1497819600,14
"479",1497823200,14.2
"480",1497826800,12.3
"481",1497830400,13.4
"482",1497834000,15.9
"483",1497837600,14
"484",1497841200,16.2
"485",1497844800,14.6
"486",1497848400,14.8
"487",1497852000,15.4
"488",1497855600,15.3
"489",1497859200,12.4
"490",1497862800,14.6
"491",1497866400,17.1
"492",1497870000,15.3
"493",1497873600,12.4
"494",1497877200,13.2
"495",1497880800,17.5
"496",1497884400,17
"497",1497888000,16
"498",1497891600,17.5
"499",1497895200,18.1
"500",1497898800,17.7
"501",1497902400,18.6
"502",1497906000,12.7
"503",1497909600,12.4
"504",1497913200,11.3
"505",1497916800,11.8
"506",1497920400,NA
"507",1497924000,NA
"508",1497927600,16
"509",1497931200,11.9
"510",1497934800,12
"511",1497938400,13.4
"512",1497942000,13.5
"513",1497945600,13.2
"514",1497949200,12.5
"515",1497952800,12.7
"516",1497956400,14.4
"517",1497960000,17.1
"518",1497963600,15.4
"519",1497967200,17.8
"520",1497970800,18.2
"521",1497974400,18.9
"522",1497978000,19.5
"523",1497981600,18.9
"524",1497985200,21.5
"525",1497988800,18.8
"526",1497992400,20.2
"527",1497996000,19
"528",1497999600,14.9
"529",1498003200,15.1
"530",1498006800,17.9
"531",1498010400,16.8
"532",1498014000,15.4
"533",1498017600,16.2
"534",1498021200,18.5
"535",1498024800,16.9
"536",1498028400,21.1
"537",1498032000,23.3
"538",1498035600,20.2
"539",1498039200,19.5
"540",1498042800,21.9
"541",1498046400,26.7
"542",1498050000,20.8
"543",1498053600,20.5
"544",1498057200,20.2
"545",1498060800,22.8
"546",1498064400,23.2
"547",1498068000,23.6
"548",1498071600,23.3
"549",1498075200,19.6
"550",1498078800,17
"551",1498082400,15.3
"552",1498086000,17.3
"553",1498089600,16.8
"554",1498093200,17.8
"555",1498096800,18.4
"556",1498100400,17.9
"557",1498104000,17.6
"558",1498107600,16.1
"559",1498111200,16.9
"560",1498114800,18
"561",1498118400,16.7
"562",1498122000,15.9
"563",1498125600,17.3
"564",1498129200,19.6
"565",1498132800,21.6
"566",1498136400,25
"567",1498140000,25.8
"568",1498143600,24.9
"569",1498147200,24.9
"570",1498150800,25.3
"571",1498154400,22
"572",1498158000,23.1
"573",1498161600,21.7
"574",1498165200,28
"575",1498168800,26.2
"576",1498172400,20.6
"577",1498176000,19.1
"578",1498179600,17
"579",1498183200,13.8
"580",1498186800,11.5
"581",1498190400,8.1
"582",1498194000,9
"583",1498197600,8.2
"584",1498201200,6.2
"585",1498204800,6.5
"586",1498208400,10.2
"587",1498212000,6.1
"588",1498215600,6.7
"589",1498219200,7.2
"590",1498222800,10.8
"591",1498226400,10.9
"592",1498230000,6.4
"593",1498233600,7.1
"594",1498237200,8.2
"595",1498240800,6.9
"596",1498244400,7.3
"597",1498248000,6.8
"598",1498251600,5.7
"599",1498255200,8.5
"600",1498258800,8.8
"601",1498262400,5.6
"602",1498266000,6.8
"603",1498269600,7.7
"604",1498273200,4.5
"605",1498276800,3.5
"606",1498280400,7.5
"607",1498284000,6.9
"608",1498287600,4.2
"609",1498291200,5
"610",1498294800,9.4
"611",1498298400,7.9
"612",1498302000,8.9
"613",1498305600,9.5
"614",1498309200,11.5
"615",1498312800,9.7
"616",1498316400,7.4
"617",1498320000,8.8
"618",1498323600,8.1
"619",1498327200,7.2
"620",1498330800,8
"621",1498334400,6.4
"622",1498338000,1.8
"623",1498341600,5.7
"624",1498345200,6
"625",1498348800,7.7
"626",1498352400,9.1
"627",1498356000,5.7
"628",1498359600,9.2
"629",1498363200,9.4
"630",1498366800,8.9
"631",1498370400,7.3
"632",1498374000,5.2
"633",1498377600,7.4
"634",1498381200,10.5
"635",1498384800,5.2
"636",1498388400,7.5
"637",1498392000,8.7
"638",1498395600,8.4
"639",1498399200,10.8
"640",1498402800,12.8
"641",1498406400,12.6
"642",1498410000,11.3
"643",1498413600,10.5
"644",1498417200,8
"645",1498420800,8.2
"646",1498424400,9.4
"647",1498428000,12.7
"648",1498431600,12.1
"649",1498435200,13.6
"650",1498438800,14.7
"651",1498442400,14.9
"652",1498446000,14.9
"653",1498449600,14.1
"654",1498453200,8.5
"655",1498456800,12.8
"656",1498460400,12.7
"657",1498464000,12.7
"658",1498467600,6.7
"659",1498471200,11.2
"660",1498474800,9.1
"661",1498478400,7
"662",1498482000,8.6
"663",1498485600,10.7
"664",1498489200,11.2
"665",1498492800,9.5
"666",1498496400,9.3
"667",1498500000,11.1
"668",1498503600,12.2
"669",1498507200,9.5
"670",1498510800,11.7
"671",1498514400,11.8
"672",1498518000,11.5
"673",1498521600,10.3
"674",1498525200,9.3
"675",1498528800,9.4
"676",1498532400,7.7
"677",1498536000,5.1
"678",1498539600,7.8
"679",1498543200,11.1
"680",1498546800,11.5
"681",1498550400,12.9
"682",1498554000,11.5
"683",1498557600,14.1
"684",1498561200,16
"685",1498564800,14.3
"686",1498568400,16.3
"687",1498572000,14.4
"688",1498575600,14.2
"689",1498579200,12.5
"690",1498582800,10.7
